"AALI","AALI.JK"," Astra Agro Lestari Tbk."
"ABBA","ABBA.JK"," Mahaka Media Tbk."
"ACES","ACES.JK"," Ace Hardware Indonesia Tbk."
"ACST","ACST.JK"," Acset Tndonusa Tbk."
"ADES","ADES.JK"," Akasha Wira International Tbk."
"ADHI","ADHI.JK"," Adhi Karya (Persero) Tbk."
"ADMG","ADMG.JK"," Polychem Indonesia Tbk."
"ADRO","ADRO.JK"," Adaro Energy Tbk."
"AGII","AGII.JK"," Aneka Gas Industri Tbk."
"AKKU","AKKU.JK"," Anugerah Kagum Karya Utama Tbk."
"AKPI","AKPI.JK"," Argha Karya Prima Industry Tbk."
"AKRA","AKRA.JK"," AKR Corporindo Tbk."
"AKSI","AKSI.JK"," Majapahit Inti Corpora Tbk."
"ALDO","ALDO.JK"," Alkindo Naratama Tbk."
"ALKA","ALKA.JK"," Alakasa Industrindo Tbk."
"AMFG","AMFG.JK"," Asahimas Flat Glass Tbk."
"AMIN","AMIN.JK"," Ateliers Mecaniques D Indonesia Tbk."
"ANJT","ANJT.JK"," Austindo Nusantara Jaya Tbk."
"ANTM","ANTM.JK"," Aneka Tambang Tbk."
"APII","APII.JK"," Arita Prima Indonesia Tbk."
"APLI","APLI.JK"," Asiaplast Industries Tbk."
"APLN","APLN.JK"," Agung Podomoro Land Tbk."
"ARII","ARII.JK"," Atlas Resources Tbk."
"ARMY","ARMY.JK"," Armidian Karyatatna Tbk."
"ARNA","ARNA.JK"," Arwana Citramulia Tbk."
"ARTA","ARTA.JK"," Arthavest Tbk."
"ARTI","ARTI.JK"," Ratu Prabu Energi Tbk."
"ASGR","ASGR.JK"," Astra Graphia Tbk."
"ASII","ASII.JK"," Astra International Tbk."
"ASRI","ASRI.JK"," Alam Sutera Realty Tbk."
"ATPK","ATPK.JK"," Bara Jaya Internasional Tbk."
"AUTO","AUTO.JK"," Astra Otoparts Tbk."
"BALI","BALI.JK"," Bali Tovverindo Sentra Tbk."
"BAPA","BAPA.JK"," Bekasi Asri Pemula Tbk."
"BATA","BATA.JK"," Sepatu Bata Tbk."
"BAYU","BAYU.JK"," Bayu 13 uana Tbk."
"BCIP","BCIP.JK"," Bumi Citra Permai Tbk."
"BELL","BELL.JK"," Trisula Textile Industries Tbk."
"BEST","BEST.JK"," Bekasi Fajar Industrial Estate Tbk."
"BIPP","BIPP.JK"," Bhuvvanatala Indah Permai Tbk."
"BIRD","BIRD.JK"," Blue Bird Tbk."
"BISI","BISI.JK"," BISI International Tbk."
"BKDP","BKDP.JK"," Bukit Darmo Property Tbk."
"BKSL","BKSL.JK"," Sentul City Tbk."
"BLTZ","BLTZ.JK"," Graha Layar Prima Tbk."
"BLUE","BLUE.JK"," Berkah Prima Perkasa Tbk."
"BMSR","BMSR.JK"," Bintang Mitra Semestaraya Tbk."
"BMTR","BMTR.JK"," Global Mediacom Tbk."
"BOGA","BOGA.JK"," Bintang Oto Global Tbk."
"BOLT","BOLT.JK"," Garuda Metalindo Tbk."
"BOLA","BOLA.JK"," Bali Bintang Sejahtera Tbk."
"BOSS","BOSS.JK"," Borneo Olah Sarana Sukses Tbk."
"BRAM","BRAM.JK"," Indo Kordsa Tbk."
"BRIS","BRIS.JK"," Bank BRlsyariah Tbk."
"BRMS","BRMS.JK"," Bumi Resources Minerals Tbk."
"BRNA","BRNA.JK"," Berlina Tbk."
"BRPT","BRPT.JK"," Barito Pacific Tbk."
"BSDE","BSDE.JK"," Bumi Serpong Daroai Tbk."
"BSSR","BSSR.JK"," Baramulti Suksessarana Tbk."
"BTEK","BTEK.JK"," Bumi Teknokultura Unggul Tbk."
"BTON","BTON.JK"," Betonjaya Manunggal Tbk."
"BTPS","BTPS.JK"," Bank Tabungan Pensiunan Nasional Syariah Tbk."
"BUDI","BUDI.JK"," Budi Starch & Sweetener Tbk."
"BUKK","BUKK.JK"," Bukaka Teknik Utama Tbk."
"BULL","BULL.JK"," Buana Lintas Lautan Tbk."
"BUVA","BUVA.JK"," Bukit Uluwatu Villa Tbk."
"BWPT","BWPT.JK"," Eagle High Plantations Tbk."
"BYAN","BYAN.JK","  Bay an Resources Tbk."
"CAMP","CAMP.JK"," Carnpina Ice Cream Industry Tbk."
"CAKK","CAKK.JK"," Cahayaputra Asa Keramik Tbk."
"CANI","CANI.JK"," Capitol Nusantara Indonesia Tbk."
"CASS","CASS.JK"," Cardig Aero Services Tbk."
"CCSI","CCSI.JK","  Communication Cable Systems Indonesia Tbk."
"CEKA","CEKA.JK"," Wilmar Cahaya Indonesia Tbk."
"CENT","CENT.JK"," Centratama Telekomunikasi Indonesia Tbk."
"CINT","CINT.JK"," Chitose Internasional Tbk."
"CITA","CITA.JK"," Cita Mineral Investindo Tbk."
"CITY","CITY.JK"," Natura City Developments Tbk."
"CLEO","CLEO.JK"," Sariguna Primatirta Tbk."
"CLPI","CLPI.JK"," Colorpak Indonesia Tbk."
"CMNP","CMNP.JK"," Citra Marga Nusaphala Persada Tbk."
"CMPP","CMPP.JK"," AirAsia Indonesia Tbk."
"CPIN","CPIN.JK"," Charoen Pokphand Indonesia Tbk."
"CPRI","CPRI.JK"," Capri Nusa Satu Properti Tbk."
"CSAP","CSAP.JK"," Catur Sentosa Adiprana Tbk."
"CSIS","CSIS.JK"," Cahayasakti Investindo Sukses Tbk."
"CTBN","CTBN.JK"," Citra Tubindo Tbk."
"CTRA","CTRA.JK"," Ciputra Development Tbk."
"CTTH","CTTH.JK"," Citatah Tbk."
"DART","DART.JK"," Duta Anggada Realty Tbk."
"DAYA","DAYA.JK"," Duta Intidaya Tbk."
"DEAL","DEAL.JK"," Dewata Freightinternational Tbk."
"DEWA","DEWA.JK"," Darma Henwa Tbk."
"DIGI","DIGI.JK"," Arkadia Digital Media Tbk."
"DILD","DILD.JK"," Intiland Development Tbk."
