Date,High,Low,Open,Close,Volume,Adj Close
2019-06-04,1630,1630,1630,1630,0,1630
2019-06-05,1630,1630,1630,1630,0,1630
2019-06-06,1630,1630,1630,1630,0,1630
2019-06-07,1630,1630,1630,1630,0,1630
2019-06-10,1785,1730,1785,1730,2700,1730
2019-06-11,1775,1745,1775,1745,2300,1745
2019-06-12,1730,1730,1730,1730,1100,1730
2019-06-13,1775,1710,1775,1740,600,1740
2019-06-14,1640,1640,1640,1640,1000,1640
2019-06-17,1765,1640,1640,1700,3400,1700
2019-06-18,1580,1450,1555,1575,31500,1575
2019-06-19,1560,1540,1540,1560,6600,1560
2019-06-20,1530,1470,1530,1500,6900,1500
2019-06-21,1450,1400,1450,1435,8100,1435
2019-06-24,1435,1400,1435,1400,3200,1400
2019-06-25,1400,1300,1400,1345,23500,1345
2019-06-26,1355,1200,1200,1350,5900,1350
2019-06-27,1340,1340,1340,1340,1000,1340
2019-06-28,1340,1340,1340,1340,0,1340
2019-07-01,1340,1340,1340,1340,0,1340
2019-07-02,1325,1325,1325,1325,200,1325
2019-07-03,1330,1325,1330,1325,5600,1325
2019-07-04,1325,1325,1325,1325,3400,1325
2019-07-05,1440,1325,1325,1440,3400,1440
2019-07-08,1440,1435,1435,1440,4200,1440
2019-07-09,1365,1350,1355,1360,15600,1360
2019-07-10,1360,1220,1310,1360,10600,1360
2019-07-11,1355,1350,1355,1350,2500,1350
2019-07-12,1335,1250,1305,1335,3500,1335
2019-07-15,1245,1225,1225,1235,8300,1235
2019-07-16,1285,1235,1285,1270,6000,1270
2019-07-17,1260,1250,1250,1260,4800,1260
2019-07-18,1285,1205,1210,1245,6800,1245
2019-07-19,1250,1245,1245,1245,5700,1245
2019-07-22,1290,1205,1290,1270,1800,1270
2019-07-23,1265,1260,1260,1260,2600,1260
2019-07-24,1245,1200,1210,1200,7400,1200
2019-07-25,1200,1200,1200,1200,8200,1200
2019-07-26,1200,1200,1200,1200,7200,1200
2019-07-29,1195,1100,1155,1120,8500,1120
2019-07-30,1185,1100,1100,1180,3400,1180
2019-07-31,1260,1180,1180,1225,9800,1225
2019-08-01,1200,1200,1200,1200,2200,1200
2019-08-02,1200,1200,1200,1200,1400,1200
2019-08-05,1210,1210,1210,1210,2500,1210
2019-08-06,1250,1210,1210,1250,2000,1250
2019-08-07,1255,1255,1255,1255,700,1255
2019-08-08,1270,1270,1270,1270,3200,1270
2019-08-09,1270,1270,1270,1270,2300,1270
2019-08-12,1300,1300,1300,1300,2700,1300
2019-08-13,1370,1350,1370,1350,400,1350
2019-08-14,1360,1350,1350,1360,300,1360
2019-08-15,1360,1360,1360,1360,0,1360
2019-08-16,1355,1355,1355,1355,5000,1355
2019-08-19,1355,1050,1060,1355,123800,1355
2019-08-20,1400,1140,1355,1400,1900,1400
2019-08-21,1390,1300,1350,1390,5200,1390
2019-08-22,1640,1550,1640,1550,8000,1550
2019-08-23,1550,1500,1500,1550,2500,1550
