Date,High,Low,Open,Close,Volume,Adj Close
2018-11-12,280.0,192.0,280.0,250.0,32358300.0,250.0
2018-11-13,284.0,230.0,240.0,282.0,62729100.0,282.0
2018-11-14,352.0,272.0,284.0,352.0,154996500.0,352.0
2018-11-15,380.0,314.0,354.0,352.0,100313100.0,352.0
2018-11-16,374.0,332.0,350.0,368.0,77757200.0,368.0
2018-11-19,384.0,358.0,370.0,358.0,41487200.0,358.0
2018-11-20,358.0,358.0,358.0,358.0,0.0,358.0
2018-11-21,370.0,340.0,358.0,352.0,62890100.0,352.0
2018-11-22,416.0,346.0,352.0,406.0,138329100.0,406.0
2018-11-23,410.0,384.0,406.0,386.0,23680100.0,386.0
2018-11-26,420.0,376.0,386.0,414.0,81876700.0,414.0
2018-11-27,482.0,404.0,410.0,472.0,143472400.0,472.0
2018-11-28,490.0,454.0,474.0,462.0,65706900.0,462.0
2018-11-29,575.0,458.0,462.0,575.0,200650000.0,575.0
2018-11-30,590.0,486.0,570.0,505.0,145426900.0,505.0
2018-12-03,570.0,486.0,505.0,505.0,73079700.0,505.0
2018-12-04,515.0,488.0,505.0,492.0,13268900.0,492.0
2018-12-05,580.0,488.0,494.0,540.0,134023800.0,540.0
2018-12-06,555.0,515.0,535.0,515.0,29695600.0,515.0
2018-12-07,540.0,500.0,520.0,525.0,10766500.0,525.0
2018-12-10,515.0,394.0,515.0,394.0,19734100.0,394.0
2018-12-11,492.0,300.0,394.0,492.0,195786500.0,492.0
2018-12-12,520.0,462.0,486.0,462.0,79575800.0,462.0
2018-12-13,535.0,462.0,464.0,500.0,85449100.0,500.0
2018-12-14,540.0,500.0,500.0,520.0,33436000.0,520.0
2018-12-17,535.0,505.0,520.0,525.0,13427500.0,525.0
2018-12-18,535.0,500.0,525.0,500.0,6400400.0,500.0
2018-12-19,520.0,496.0,500.0,498.0,9257500.0,498.0
2018-12-20,520.0,494.0,500.0,500.0,6313900.0,500.0
2018-12-21,510.0,480.0,500.0,496.0,18051900.0,496.0
2018-12-24,496.0,496.0,496.0,496.0,0.0,496.0
2018-12-25,496.0,496.0,496.0,496.0,0.0,496.0
2018-12-26,498.0,480.0,496.0,488.0,5067600.0,488.0
2018-12-27,520.0,488.0,488.0,505.0,14601900.0,505.0
2018-12-28,550.0,492.0,510.0,530.0,30162600.0,530.0
2018-12-31,530.0,530.0,530.0,530.0,0.0,530.0
2019-01-01,530.0,530.0,530.0,530.0,0.0,530.0
2019-01-02,540.0,510.0,525.0,535.0,20568700.0,535.0
2019-01-03,590.0,530.0,535.0,570.0,49615600.0,570.0
2019-01-04,615.0,565.0,570.0,605.0,48254600.0,605.0
2019-01-07,640.0,605.0,605.0,635.0,40468800.0,635.0
2019-01-08,670.0,620.0,635.0,635.0,72168600.0,635.0
2019-01-09,680.0,630.0,635.0,670.0,44526900.0,670.0
2019-01-10,700.0,640.0,670.0,655.0,48960300.0,655.0
2019-01-11,695.0,630.0,655.0,675.0,66254500.0,675.0
2019-01-14,690.0,655.0,675.0,660.0,30505800.0,660.0
2019-01-15,685.0,640.0,660.0,665.0,59983600.0,665.0
2019-01-16,745.0,665.0,665.0,725.0,114238400.0,725.0
2019-01-17,780.0,710.0,730.0,730.0,107341300.0,730.0
2019-01-18,770.0,725.0,730.0,750.0,68788900.0,750.0
2019-01-21,775.0,740.0,755.0,745.0,53177900.0,745.0
2019-01-22,760.0,725.0,745.0,735.0,60410600.0,735.0
2019-01-23,760.0,710.0,735.0,710.0,40624900.0,710.0
2019-01-24,800.0,690.0,710.0,755.0,116945200.0,755.0
2019-01-25,790.0,745.0,755.0,765.0,38694500.0,765.0
2019-01-28,800.0,760.0,765.0,795.0,42019000.0,795.0
2019-01-29,825.0,750.0,795.0,765.0,39516600.0,765.0
2019-01-30,785.0,725.0,765.0,735.0,45448100.0,735.0
2019-01-31,755.0,715.0,735.0,730.0,27679000.0,730.0
2019-02-01,735.0,700.0,730.0,700.0,34550700.0,700.0
2019-02-04,705.0,675.0,700.0,700.0,18820800.0,700.0
2019-02-05,700.0,700.0,700.0,700.0,0.0,700.0
2019-02-06,705.0,685.0,700.0,700.0,28794700.0,700.0
2019-02-07,740.0,690.0,700.0,740.0,61489900.0,740.0
2019-02-08,765.0,730.0,745.0,745.0,34332500.0,745.0
2019-02-11,800.0,745.0,750.0,795.0,73282100.0,795.0
2019-02-12,835.0,765.0,800.0,835.0,70610200.0,835.0
2019-02-13,885.0,830.0,835.0,885.0,69906900.0,885.0
2019-02-14,890.0,860.0,885.0,865.0,58576900.0,865.0
2019-02-15,870.0,845.0,865.0,845.0,34495700.0,845.0
2019-02-18,875.0,830.0,845.0,835.0,35830100.0,835.0
2019-02-19,855.0,800.0,835.0,805.0,35637100.0,805.0
2019-02-20,805.0,780.0,805.0,790.0,32374200.0,790.0
2019-02-21,840.0,765.0,790.0,830.0,65211600.0,830.0
2019-02-22,845.0,810.0,830.0,825.0,42796700.0,825.0
2019-02-25,850.0,815.0,825.0,845.0,43881000.0,845.0
2019-02-26,900.0,815.0,845.0,900.0,71860300.0,900.0
2019-02-27,915.0,865.0,900.0,875.0,61958800.0,875.0
2019-02-28,875.0,840.0,865.0,855.0,46184100.0,855.0
2019-03-01,890.0,825.0,855.0,860.0,59579800.0,860.0
2019-03-04,880.0,835.0,860.0,875.0,47603000.0,875.0
2019-03-05,955.0,865.0,875.0,955.0,85382600.0,955.0
2019-03-06,1085.0,955.0,960.0,1085.0,92504400.0,1085.0
2019-03-07,1085.0,1085.0,1085.0,1085.0,0.0,1085.0
2019-03-08,1090.0,1065.0,1085.0,1075.0,36555400.0,1075.0
2019-03-11,1140.0,1070.0,1075.0,1100.0,72468600.0,1100.0
2019-03-12,1165.0,1090.0,1095.0,1160.0,85296300.0,1160.0
2019-03-13,1185.0,1120.0,1180.0,1145.0,61235900.0,1145.0
2019-03-14,1185.0,1115.0,1150.0,1180.0,64565000.0,1180.0
2019-03-15,1185.0,1140.0,1180.0,1155.0,21736200.0,1155.0
2019-03-18,1170.0,1130.0,1155.0,1140.0,43833600.0,1140.0
2019-03-19,1150.0,1135.0,1140.0,1140.0,22182600.0,1140.0
2019-03-20,1150.0,1080.0,1135.0,1150.0,78051400.0,1150.0
2019-03-21,1210.0,1160.0,1165.0,1195.0,89818500.0,1195.0
2019-03-22,1230.0,1175.0,1205.0,1220.0,68196400.0,1220.0
2019-03-25,1240.0,1195.0,1240.0,1220.0,24971100.0,1220.0
2019-03-26,1260.0,1220.0,1220.0,1255.0,52716700.0,1255.0
2019-03-27,1270.0,1230.0,1255.0,1240.0,32490100.0,1240.0
2019-03-28,1290.0,1260.0,1260.0,1280.0,34906700.0,1280.0
2019-03-29,1310.0,1280.0,1280.0,1310.0,21237200.0,1310.0
2019-04-01,1300.0,1265.0,1280.0,1275.0,37112600.0,1275.0
2019-04-02,1310.0,1290.0,1295.0,1310.0,17954100.0,1310.0
2019-04-03,1310.0,1310.0,1310.0,1310.0,0.0,1310.0
2019-04-04,1340.0,1205.0,1305.0,1300.0,165710000.0,1300.0
2019-04-05,1375.0,1295.0,1315.0,1350.0,115145600.0,1350.0
2019-04-08,1365.0,1345.0,1360.0,1350.0,49256500.0,1350.0
2019-04-09,1355.0,1330.0,1350.0,1330.0,35429500.0,1330.0
2019-04-10,1330.0,1320.0,1330.0,1325.0,28231000.0,1325.0
2019-04-11,1340.0,1305.0,1320.0,1315.0,48577400.0,1315.0
2019-04-12,1305.0,1255.0,1305.0,1265.0,56448000.0,1265.0
2019-04-15,1265.0,1185.0,1260.0,1185.0,64557600.0,1185.0
2019-04-16,1185.0,950.0,1185.0,1075.0,67263100.0,1075.0
2019-04-17,1075.0,1075.0,1075.0,1075.0,0.0,1075.0
2019-04-18,1130.0,1070.0,1075.0,1130.0,77380100.0,1130.0
2019-04-19,1130.0,1130.0,1130.0,1130.0,0.0,1130.0
2019-04-22,1130.0,1120.0,1130.0,1130.0,9850200.0,1130.0
2019-04-23,1210.0,1125.0,1130.0,1210.0,103713400.0,1210.0
2019-04-24,1220.0,1185.0,1210.0,1215.0,42180100.0,1215.0
2019-04-25,1250.0,1195.0,1215.0,1240.0,124932700.0,1240.0
2019-04-26,1240.0,1215.0,1240.0,1225.0,38336900.0,1225.0
2019-04-29,1235.0,1210.0,1225.0,1215.0,32267600.0,1215.0
2019-04-30,1220.0,1145.0,1215.0,1160.0,69559700.0,1160.0
2019-05-01,1160.0,1160.0,1160.0,1160.0,0.0,1160.0
2019-05-02,1160.0,1100.0,1160.0,1105.0,31782200.0,1105.0
2019-05-03,1105.0,1070.0,1105.0,1075.0,22493500.0,1075.0
2019-05-06,1075.0,1015.0,1075.0,1015.0,27038400.0,1015.0
2019-05-07,1030.0,1005.0,1015.0,1010.0,35131100.0,1010.0
2019-05-08,1045.0,985.0,1010.0,1045.0,69143000.0,1045.0
2019-05-09,1055.0,1015.0,1045.0,1025.0,53050600.0,1025.0
2019-05-10,1030.0,990.0,1025.0,995.0,25086600.0,995.0
2019-05-13,995.0,855.0,995.0,900.0,25191400.0,900.0
2019-05-14,885.0,860.0,880.0,860.0,10236900.0,860.0
2019-05-15,875.0,845.0,860.0,855.0,20037400.0,855.0
2019-05-16,865.0,845.0,860.0,855.0,13139300.0,855.0
2019-05-17,855.0,805.0,855.0,805.0,9674200.0,805.0
2019-05-20,805.0,800.0,805.0,800.0,4926800.0,800.0
2019-05-21,805.0,795.0,805.0,795.0,2609200.0,795.0
2019-05-22,795.0,705.0,795.0,710.0,2766400.0,710.0
2019-05-23,750.0,660.0,700.0,750.0,1103300.0,750.0
2019-05-24,800.0,710.0,750.0,775.0,3364600.0,775.0
2019-05-27,795.0,750.0,775.0,750.0,1043400.0,750.0
2019-05-28,750.0,700.0,740.0,700.0,554200.0,700.0
2019-05-29,720.0,695.0,700.0,705.0,3410000.0,705.0
2019-05-30,705.0,705.0,705.0,705.0,0.0,705.0
2019-05-31,755.0,690.0,705.0,755.0,3543800.0,755.0
2019-06-03,755.0,755.0,755.0,755.0,0.0,755.0
2019-06-04,755.0,755.0,755.0,755.0,0.0,755.0
2019-06-05,755.0,755.0,755.0,755.0,0.0,755.0
2019-06-06,755.0,755.0,755.0,755.0,0.0,755.0
2019-06-07,755.0,755.0,755.0,755.0,0.0,755.0
2019-06-10,775.0,750.0,755.0,750.0,1582500.0,750.0
2019-06-11,765.0,730.0,750.0,765.0,4059900.0,765.0
2019-06-12,765.0,750.0,765.0,755.0,3451400.0,755.0
2019-06-13,775.0,740.0,755.0,770.0,6103600.0,770.0
2019-06-14,850.0,770.0,775.0,845.0,27467500.0,845.0
2019-06-17,920.0,845.0,850.0,915.0,46798300.0,915.0
2019-06-18,970.0,885.0,920.0,955.0,42335300.0,955.0
2019-06-19,975.0,930.0,955.0,940.0,23145400.0,940.0
2019-06-20,975.0,920.0,940.0,945.0,25863400.0,945.0
2019-06-21,965.0,925.0,945.0,925.0,11384400.0,925.0
2019-06-24,925.0,905.0,925.0,905.0,4596800.0,905.0
2019-06-25,945.0,905.0,910.0,940.0,11351700.0,940.0
2019-06-26,965.0,925.0,940.0,955.0,17074900.0,955.0
2019-06-27,965.0,935.0,965.0,935.0,10121300.0,935.0
2019-06-28,935.0,905.0,930.0,905.0,8188600.0,905.0
2019-07-01,935.0,900.0,905.0,920.0,10562900.0,920.0
2019-07-02,920.0,915.0,920.0,915.0,2048000.0,915.0
2019-07-03,920.0,905.0,915.0,905.0,3835900.0,905.0
2019-07-04,905.0,870.0,905.0,875.0,5163900.0,875.0
2019-07-05,885.0,835.0,875.0,835.0,4489600.0,835.0
2019-07-08,950.0,810.0,835.0,950.0,37942800.0,950.0
