Date,High,Low,Open,Close,Volume,Adj Close
2018-11-27,3490.0,2900.0,3350.0,3280.0,68033600.0,3280.0
2018-11-28,3330.0,3200.0,3300.0,3260.0,25633400.0,3260.0
2018-11-29,3300.0,3240.0,3260.0,3280.0,9109300.0,3280.0
2018-11-30,3280.0,3230.0,3280.0,3260.0,8876500.0,3260.0
2018-12-03,3260.0,3150.0,3260.0,3200.0,8085500.0,3200.0
2018-12-04,3200.0,3070.0,3200.0,3170.0,6264600.0,3170.0
2018-12-05,3160.0,3130.0,3160.0,3150.0,2922100.0,3150.0
2018-12-06,3220.0,3090.0,3150.0,3200.0,5379400.0,3200.0
2018-12-07,3290.0,3200.0,3230.0,3290.0,3842900.0,3290.0
2018-12-10,3280.0,3220.0,3280.0,3250.0,2801400.0,3250.0
2018-12-11,3250.0,3180.0,3250.0,3210.0,2414300.0,3210.0
2018-12-12,3240.0,3110.0,3220.0,3160.0,16176200.0,3160.0
2018-12-13,3200.0,3150.0,3170.0,3150.0,11196000.0,3150.0
2018-12-14,3250.0,3120.0,3170.0,3180.0,12544400.0,3180.0
2018-12-17,3220.0,3170.0,3190.0,3170.0,6497600.0,3170.0
2018-12-18,3180.0,3150.0,3170.0,3180.0,6281000.0,3180.0
2018-12-19,3190.0,3160.0,3170.0,3190.0,4643300.0,3190.0
2018-12-20,3190.0,3170.0,3180.0,3180.0,4124400.0,3180.0
2018-12-21,3190.0,3150.0,3180.0,3150.0,3271700.0,3150.0
2018-12-24,3150.0,3150.0,3150.0,3150.0,0.0,3150.0
2018-12-25,3150.0,3150.0,3150.0,3150.0,0.0,3150.0
2018-12-26,3150.0,3110.0,3140.0,3130.0,2397400.0,3130.0
2018-12-27,3140.0,3110.0,3140.0,3120.0,1607900.0,3120.0
2018-12-28,3220.0,3090.0,3130.0,3220.0,2923500.0,3220.0
2018-12-31,3220.0,3220.0,3220.0,3220.0,0.0,3220.0
2019-01-01,3220.0,3220.0,3220.0,3220.0,0.0,3220.0
2019-01-02,3220.0,3120.0,3190.0,3140.0,1587400.0,3140.0
2019-01-03,3170.0,3080.0,3150.0,3080.0,2308300.0,3080.0
2019-01-04,3100.0,3060.0,3080.0,3060.0,2092900.0,3060.0
2019-01-07,3070.0,3020.0,3060.0,3020.0,1955100.0,3020.0
2019-01-08,3020.0,2820.0,3020.0,2950.0,2777600.0,2950.0
2019-01-09,2950.0,2910.0,2950.0,2950.0,2112600.0,2950.0
2019-01-10,2950.0,2890.0,2950.0,2940.0,2050000.0,2940.0
2019-01-11,3000.0,2940.0,2940.0,2950.0,1972200.0,2950.0
2019-01-14,2960.0,2920.0,2950.0,2940.0,2102200.0,2940.0
2019-01-15,2970.0,2930.0,2940.0,2940.0,2109800.0,2940.0
2019-01-16,2940.0,2890.0,2940.0,2940.0,2328700.0,2940.0
2019-01-17,2940.0,2870.0,2940.0,2930.0,2248400.0,2930.0
2019-01-18,2930.0,2830.0,2930.0,2880.0,1569800.0,2880.0
2019-01-21,2890.0,2810.0,2880.0,2820.0,1412100.0,2820.0
2019-01-22,2830.0,2810.0,2820.0,2820.0,3135000.0,2820.0
2019-01-23,2870.0,2830.0,2830.0,2850.0,2132400.0,2850.0
2019-01-24,2900.0,2860.0,2860.0,2880.0,2143200.0,2880.0
2019-01-25,2900.0,2880.0,2890.0,2880.0,2174000.0,2880.0
2019-01-28,2890.0,2860.0,2890.0,2860.0,1946100.0,2860.0
2019-01-29,2850.0,2800.0,2850.0,2810.0,2131200.0,2810.0
2019-01-30,2820.0,2780.0,2810.0,2810.0,1367500.0,2810.0
2019-01-31,2810.0,2790.0,2810.0,2810.0,1536100.0,2810.0
2019-02-01,2820.0,2800.0,2820.0,2810.0,2090700.0,2810.0
2019-02-04,2850.0,2820.0,2820.0,2830.0,2154500.0,2830.0
2019-02-05,2830.0,2830.0,2830.0,2830.0,0.0,2830.0
2019-02-06,2970.0,2840.0,2840.0,2900.0,2545300.0,2900.0
2019-02-07,2990.0,2910.0,2910.0,2970.0,2698900.0,2970.0
2019-02-08,3010.0,2980.0,2980.0,2990.0,2603100.0,2990.0
2019-02-11,3080.0,3000.0,3000.0,3000.0,3239900.0,3000.0
2019-02-12,3070.0,3000.0,3000.0,3070.0,3628800.0,3070.0
2019-02-13,3100.0,3050.0,3080.0,3080.0,4184400.0,3080.0
