Date,High,Low,Open,Close,Volume,Adj Close
2019-06-04,97.0,97.0,97.0,97.0,0.0,97.0
2019-06-05,97.0,97.0,97.0,97.0,0.0,97.0
2019-06-06,97.0,97.0,97.0,97.0,0.0,97.0
2019-06-07,97.0,97.0,97.0,97.0,0.0,97.0
2019-06-10,97.0,95.0,97.0,96.0,29700.0,96.0
2019-06-11,97.0,97.0,97.0,97.0,11200.0,97.0
2019-06-12,97.0,96.0,96.0,97.0,55700.0,97.0
2019-06-13,95.0,95.0,95.0,95.0,32000.0,95.0
2019-06-14,100.0,95.0,98.0,97.0,1126700.0,97.0
2019-06-17,99.0,96.0,99.0,98.0,366900.0,98.0
2019-06-18,98.0,95.0,98.0,97.0,213400.0,97.0
2019-06-19,97.0,95.0,97.0,97.0,112500.0,97.0
2019-06-20,99.0,96.0,99.0,97.0,2700.0,97.0
2019-06-21,98.0,95.0,98.0,97.0,92100.0,97.0
2019-06-24,97.0,96.0,97.0,96.0,47600.0,96.0
2019-06-25,98.0,95.0,98.0,97.0,112000.0,97.0
2019-06-26,97.0,95.0,96.0,96.0,178500.0,96.0
2019-06-27,96.0,95.0,95.0,96.0,245400.0,96.0
2019-06-28,96.0,95.0,95.0,96.0,63400.0,96.0
2019-07-01,96.0,95.0,96.0,95.0,122600.0,95.0
2019-07-02,97.0,93.0,93.0,97.0,260800.0,97.0
2019-07-03,96.0,94.0,94.0,95.0,1400.0,95.0
2019-07-04,98.0,93.0,97.0,96.0,2629600.0,96.0
2019-07-05,96.0,95.0,96.0,95.0,35700.0,95.0
2019-07-08,99.0,94.0,94.0,97.0,484500.0,97.0
2019-07-09,98.0,95.0,97.0,95.0,356700.0,95.0
2019-07-10,95.0,94.0,95.0,95.0,202600.0,95.0
2019-07-11,97.0,95.0,95.0,96.0,11200.0,96.0
2019-07-12,97.0,94.0,94.0,94.0,205600.0,94.0
2019-07-15,97.0,94.0,96.0,95.0,153900.0,95.0
2019-07-16,96.0,95.0,95.0,96.0,15700.0,96.0
2019-07-17,96.0,94.0,95.0,96.0,151900.0,96.0
2019-07-18,96.0,95.0,96.0,96.0,25700.0,96.0
2019-07-19,96.0,94.0,96.0,95.0,90100.0,95.0
2019-07-22,96.0,94.0,96.0,95.0,29800.0,95.0
2019-07-23,96.0,94.0,95.0,95.0,262600.0,95.0
2019-07-24,96.0,93.0,93.0,95.0,84800.0,95.0
2019-07-25,95.0,93.0,94.0,93.0,10500.0,93.0
2019-07-26,96.0,91.0,95.0,91.0,259400.0,91.0
2019-07-29,96.0,92.0,95.0,92.0,243800.0,92.0
2019-07-30,95.0,91.0,92.0,95.0,316000.0,95.0
2019-07-31,100.0,91.0,96.0,94.0,944200.0,94.0
2019-08-01,95.0,91.0,94.0,93.0,264100.0,93.0
2019-08-02,94.0,91.0,93.0,92.0,32800.0,92.0
2019-08-05,94.0,91.0,93.0,91.0,431300.0,91.0
2019-08-06,91.0,90.0,91.0,90.0,213400.0,90.0
2019-08-07,93.0,91.0,92.0,92.0,33500.0,92.0
2019-08-08,93.0,91.0,93.0,92.0,318500.0,92.0
2019-08-09,92.0,91.0,91.0,91.0,403700.0,91.0
2019-08-12,92.0,90.0,92.0,90.0,258600.0,90.0
2019-08-13,91.0,89.0,91.0,89.0,88200.0,89.0
2019-08-14,91.0,89.0,90.0,91.0,257900.0,91.0
2019-08-15,90.0,89.0,90.0,90.0,45800.0,90.0
2019-08-16,90.0,89.0,90.0,90.0,122400.0,90.0
2019-08-20,89.0,87.0,89.0,88.0,1270600.0,88.0
2019-08-21,94.0,86.0,88.0,94.0,2596900.0,94.0
2019-08-22,96.0,90.0,96.0,94.0,1354300.0,94.0
2019-08-23,95.0,91.0,94.0,94.0,426700.0,94.0
