Date,High,Low,Open,Close,Volume,Adj Close
2019-06-04,900,900,900,900,0,900
2019-06-05,900,900,900,900,0,900
2019-06-06,900,900,900,900,0,900
2019-06-07,900,900,900,900,0,900
2019-06-10,880,880,880,880,1600,880
2019-06-11,900,860,885,900,5700,900
2019-06-12,865,855,860,860,2600,860
2019-06-13,850,850,850,850,1500,850
2019-06-14,825,820,820,825,2100,825
2019-06-17,830,820,825,830,2400,830
2019-06-18,870,805,805,820,7600,820
2019-06-19,810,810,810,810,1500,810
2019-06-20,960,870,870,940,15900,940
2019-06-21,940,835,940,835,3400,835
2019-06-24,860,840,840,850,74600,850
2019-06-25,890,810,845,870,759200,870
2019-06-26,900,850,870,865,38400,865
2019-06-27,865,830,865,830,5300,830
2019-06-28,805,805,805,805,2100,805
2019-07-01,805,800,805,805,160000,805
2019-07-02,815,805,810,805,8800,805
2019-07-03,860,800,860,820,100000,820
2019-07-04,850,805,850,820,106500,820
2019-07-05,800,800,800,800,6900,800
2019-07-08,800,800,800,800,5400,800
2019-07-09,800,800,800,800,6600,800
2019-07-10,800,795,800,800,8300,800
2019-07-11,805,800,805,800,3800,800
2019-07-12,800,800,800,800,1500,800
2019-07-15,810,800,800,800,1800,800
2019-07-16,805,800,805,800,1600,800
2019-07-17,840,800,800,800,37300,800
2019-07-18,840,820,840,820,16400,820
2019-07-19,850,800,850,800,1600,800
2019-07-22,800,800,800,800,5400,800
2019-07-23,800,800,800,800,20300,800
2019-07-24,830,790,830,790,6100,790
2019-07-25,825,790,790,790,1200,790
2019-07-26,790,790,790,790,1500,790
2019-07-29,790,790,790,790,600,790
2019-07-30,790,790,790,790,400,790
2019-07-31,760,760,760,760,500,760
2019-08-01,840,760,840,760,18000,760
2019-08-02,780,770,770,780,1300,780
2019-08-05,810,760,800,760,17100,760
2019-08-06,790,750,750,755,1600,755
2019-08-07,760,755,755,760,2200,760
2019-08-08,760,760,760,760,2100,760
2019-08-09,750,750,750,750,200,750
2019-08-12,890,800,820,800,65300,800
2019-08-13,800,780,800,785,5200,785
2019-08-14,820,775,820,775,2100,775
2019-08-15,810,775,810,790,2900,790
2019-08-16,830,800,800,800,56400,800
2019-08-19,800,790,800,790,400,790
2019-08-20,830,785,830,785,5500,785
2019-08-21,785,755,785,760,259500,760
2019-08-22,770,700,770,725,115300,725
2019-08-23,735,680,685,685,135600,685
