Date,High,Low,Open,Close,Volume,Adj Close
2019-05-02,675.0,635.0,655.0,640.0,39032200.0,621.3635864257812
2019-05-03,650.0,590.0,640.0,625.0,35983900.0,606.80029296875
2019-06-04,715.0,715.0,715.0,715.0,0.0,694.1795654296875
2019-06-05,715.0,715.0,715.0,715.0,0.0,694.1795654296875
2019-06-06,715.0,715.0,715.0,715.0,0.0,694.1795654296875
2019-06-07,715.0,715.0,715.0,715.0,0.0,694.1795654296875
2019-06-10,750.0,715.0,750.0,725.0,21389400.0,703.8883666992188
2019-06-11,735.0,715.0,725.0,725.0,16494200.0,703.8883666992188
2019-06-12,735.0,710.0,725.0,720.0,19166100.0,699.0339965820312
2019-06-13,725.0,710.0,720.0,725.0,18315600.0,703.8883666992188
2019-06-14,730.0,715.0,725.0,715.0,13612700.0,694.1795654296875
2019-06-17,725.0,700.0,715.0,715.0,15862100.0,694.1795654296875
2019-06-18,720.0,700.0,710.0,710.0,15951400.0,689.3251953125
2019-06-19,735.0,710.0,710.0,720.0,22656800.0,699.0339965820312
2019-06-20,725.0,710.0,720.0,715.0,14298000.0,694.1795654296875
2019-06-21,750.0,720.0,720.0,740.0,52462600.0,718.4515991210938
2019-06-24,775.0,735.0,740.0,760.0,47239800.0,737.8692016601562
2019-06-25,770.0,745.0,770.0,755.0,43507800.0,733.0147705078125
2019-06-26,755.0,735.0,750.0,740.0,24018500.0,729.0738525390625
2019-06-27,750.0,740.0,740.0,745.0,19816800.0,734.0
2019-06-28,755.0,740.0,745.0,750.0,12532600.0,750.0
2019-07-01,795.0,745.0,750.0,780.0,57902100.0,780.0
2019-07-02,805.0,775.0,785.0,785.0,36459600.0,785.0
2019-07-03,790.0,775.0,790.0,785.0,13263800.0,785.0
2019-07-04,800.0,785.0,785.0,785.0,17740400.0,785.0
2019-07-05,790.0,775.0,785.0,775.0,12776200.0,775.0
2019-07-08,800.0,745.0,775.0,780.0,35222700.0,780.0
2019-07-09,790.0,770.0,780.0,775.0,16593200.0,775.0
2019-07-10,790.0,770.0,775.0,790.0,13525900.0,790.0
2019-07-11,830.0,780.0,790.0,810.0,45445000.0,810.0
2019-07-12,830.0,790.0,815.0,805.0,16002300.0,805.0
2019-07-15,830.0,805.0,805.0,805.0,18216000.0,805.0
2019-07-16,820.0,800.0,805.0,810.0,9652600.0,810.0
2019-07-17,810.0,795.0,810.0,800.0,11700800.0,800.0
2019-07-18,805.0,775.0,800.0,790.0,11976800.0,790.0
2019-07-19,805.0,790.0,790.0,795.0,9356500.0,795.0
2019-07-22,825.0,790.0,795.0,810.0,23061900.0,810.0
2019-07-23,820.0,800.0,810.0,810.0,12681000.0,810.0
2019-07-24,815.0,800.0,810.0,810.0,7561200.0,810.0
2019-07-25,870.0,810.0,810.0,860.0,84104500.0,860.0
2019-07-26,890.0,855.0,860.0,870.0,31459400.0,870.0
2019-07-29,880.0,830.0,870.0,860.0,21277200.0,860.0
2019-07-30,870.0,830.0,870.0,850.0,31427200.0,850.0
2019-07-31,860.0,815.0,850.0,855.0,34562300.0,855.0
2019-08-01,860.0,840.0,855.0,850.0,26544800.0,850.0
2019-08-02,850.0,830.0,845.0,845.0,29823800.0,845.0
2019-08-05,860.0,825.0,845.0,845.0,31895900.0,845.0
2019-08-06,845.0,790.0,840.0,820.0,31522300.0,820.0
2019-08-07,840.0,810.0,820.0,835.0,39366700.0,835.0
2019-08-08,850.0,825.0,835.0,845.0,31840500.0,845.0
2019-08-09,855.0,835.0,845.0,845.0,26734500.0,845.0
2019-08-12,845.0,835.0,845.0,845.0,26115800.0,845.0
2019-08-13,850.0,835.0,845.0,845.0,29266200.0,845.0
2019-08-14,870.0,840.0,845.0,855.0,41891700.0,855.0
2019-08-15,875.0,825.0,835.0,865.0,37513900.0,865.0
2019-08-16,875.0,850.0,865.0,860.0,33964900.0,860.0
2019-08-20,875.0,850.0,865.0,850.0,30596300.0,850.0
2019-08-21,860.0,835.0,850.0,845.0,29857200.0,845.0
2019-08-22,850.0,830.0,845.0,845.0,30893900.0,845.0
2019-08-23,850.0,830.0,845.0,835.0,27529900.0,835.0
