Date,High,Low,Open,Close,Volume,Adj Close
2008-06-11,3525.0,3100.0,3425.0,3425.0,217998500.0,2578.658203125
2008-06-12,3475.0,3375.0,3475.0,3475.0,53833000.0,2616.30322265625
2008-06-13,3500.0,3375.0,3450.0,3400.0,26971500.0,2559.8359375
2008-06-16,3450.0,3350.0,3375.0,3375.0,19369500.0,2541.01416015625
2008-06-17,3375.0,3275.0,3300.0,3300.0,32060000.0,2484.546875
2008-06-18,3300.0,3225.0,3300.0,3300.0,19681500.0,2484.546875
2008-06-19,3275.0,3225.0,3275.0,3275.0,5733500.0,2465.724609375
2008-06-20,3250.0,3175.0,3225.0,3225.0,9483000.0,2428.07958984375
2008-06-23,3475.0,3100.0,3225.0,3450.0,28732000.0,2597.48095703125
2008-06-24,3600.0,3450.0,3500.0,3500.0,37179000.0,2635.12548828125
2008-06-25,3500.0,3350.0,3400.0,3400.0,7014000.0,2559.8359375
2008-06-26,3425.0,3300.0,3350.0,3350.0,5492000.0,2522.19140625
2008-06-27,3325.0,3225.0,3275.0,3275.0,6441000.0,2465.724609375
2008-06-30,3350.0,3200.0,3275.0,3275.0,8888500.0,2465.724609375
2008-07-01,3575.0,3275.0,3275.0,3575.0,46992500.0,2691.59228515625
2008-07-02,3600.0,3450.0,3475.0,3475.0,20746000.0,2616.30322265625
2008-07-03,3400.0,3225.0,3275.0,3275.0,17584000.0,2465.724609375
2008-07-04,3375.0,3275.0,3325.0,3325.0,7496500.0,2503.368896484375
2008-07-07,3525.0,3350.0,3425.0,3425.0,15296000.0,2578.658203125
2008-07-08,3425.0,3225.0,3300.0,3300.0,16816000.0,2484.546875
2008-07-09,3350.0,3150.0,3200.0,3200.0,21782500.0,2409.257568359375
2008-07-10,3175.0,3000.0,3075.0,3075.0,41072000.0,2315.14599609375
2008-07-11,3125.0,3025.0,3125.0,3125.0,4752000.0,2352.790771484375
2008-07-14,3200.0,3050.0,3100.0,3100.0,8312500.0,2333.968017578125
2008-07-15,3125.0,3025.0,3125.0,3125.0,18245500.0,2352.790771484375
2008-07-16,3125.0,2900.0,3050.0,3050.0,17286000.0,2296.32373046875
2008-07-17,3025.0,2900.0,2925.0,2925.0,28262500.0,2202.2119140625
2008-07-18,2925.0,2675.0,2800.0,2800.0,21236500.0,2108.100341796875
2008-07-21,2950.0,2800.0,2850.0,2850.0,21261000.0,2145.7451171875
2008-07-22,2875.0,2750.0,2825.0,2825.0,14666000.0,2126.922607421875
2008-07-23,2825.0,2750.0,2775.0,2775.0,5142000.0,2089.278076171875
2008-07-24,2825.0,2700.0,2825.0,2825.0,33002000.0,2126.922607421875
2008-07-25,2950.0,2700.0,2700.0,2875.0,16881500.0,2164.5673828125
2008-07-28,3125.0,2875.0,2950.0,3100.0,26913500.0,2333.968017578125
2008-07-29,3100.0,2950.0,3100.0,3100.0,33686500.0,2333.968017578125
2008-07-31,3150.0,3050.0,3150.0,3150.0,28837000.0,2371.613037109375
2008-08-01,3100.0,3000.0,3075.0,3075.0,6558500.0,2315.14599609375
2008-08-04,3025.0,2925.0,3000.0,3000.0,10343000.0,2258.67919921875
2008-08-05,2900.0,2800.0,2900.0,2900.0,10302000.0,2183.389404296875
2008-08-06,2950.0,2825.0,2875.0,2875.0,15667500.0,2164.5673828125
2008-08-07,2925.0,2825.0,2875.0,2875.0,20643500.0,2164.5673828125
2008-08-08,2925.0,2825.0,2900.0,2900.0,14138000.0,2183.389404296875
2008-08-11,2850.0,2500.0,2850.0,2550.0,24900000.0,1919.876953125
2008-08-12,2575.0,2375.0,2375.0,2375.0,13089500.0,1788.1209716796875
2008-08-13,2450.0,2350.0,2450.0,2450.0,4229500.0,1844.587890625
2008-08-14,2625.0,2500.0,2625.0,2625.0,10680000.0,1976.343994140625
2008-08-15,2600.0,2450.0,2525.0,2525.0,6752000.0,1901.0545654296875
2008-08-19,2525.0,2450.0,2525.0,2525.0,2926500.0,1901.0545654296875
2008-08-20,2650.0,2525.0,2650.0,2650.0,8170500.0,1995.166259765625
2008-08-21,2725.0,2625.0,2725.0,2725.0,12336500.0,2051.63330078125
2008-08-22,2850.0,2700.0,2775.0,2775.0,21122000.0,2089.278076171875
2008-08-25,2800.0,2650.0,2675.0,2675.0,7065500.0,2013.98876953125
2008-08-26,2675.0,2625.0,2675.0,2675.0,8137500.0,2013.98876953125
2008-08-27,2750.0,2675.0,2725.0,2725.0,6746500.0,2051.63330078125
2008-08-28,2775.0,2725.0,2750.0,2750.0,7612000.0,2070.45556640625
2008-08-29,2825.0,2725.0,2825.0,2825.0,9202000.0,2126.922607421875
2008-09-01,2850.0,2750.0,2825.0,2825.0,5412500.0,2126.922607421875
2008-09-02,2775.0,2700.0,2775.0,2775.0,5421500.0,2089.278076171875
2008-09-03,2750.0,2700.0,2750.0,2750.0,5075000.0,2070.45556640625
2008-09-04,2725.0,2575.0,2625.0,2625.0,9726000.0,1976.343994140625
2008-09-05,2575.0,2425.0,2475.0,2475.0,13639500.0,1863.409912109375
2008-09-08,2550.0,2450.0,2475.0,2475.0,3522500.0,1863.409912109375
2008-09-09,2450.0,2325.0,2400.0,2400.0,7488000.0,1806.94287109375
2008-09-10,2325.0,2175.0,2325.0,2200.0,5699000.0,1656.3643798828125
2008-09-11,2225.0,2150.0,2200.0,2200.0,6675000.0,1656.3643798828125
2008-09-12,2250.0,2075.0,2125.0,2125.0,4927500.0,1599.897705078125
2008-09-15,2125.0,1975.0,2050.0,2050.0,5871000.0,1543.430419921875
2008-09-16,2000.0,1725.0,1950.0,1950.0,6568000.0,1468.1414794921875
2008-09-17,2000.0,1880.0,2000.0,2000.0,11459000.0,1505.785888671875
2008-09-18,2000.0,1850.0,2000.0,2000.0,12387000.0,1505.785888671875
2008-09-19,2200.0,2025.0,2200.0,2200.0,22620000.0,1656.3643798828125
2008-09-22,2300.0,2100.0,2150.0,2150.0,20925500.0,1618.7197265625
2008-09-23,2325.0,2125.0,2125.0,2250.0,36374500.0,1694.0091552734375
2008-09-24,2250.0,2125.0,2175.0,2175.0,24192000.0,1637.5421142578125
2008-09-25,2175.0,2100.0,2150.0,2150.0,8279500.0,1618.7197265625
2008-09-26,2125.0,2050.0,2125.0,2125.0,5395000.0,1599.897705078125
2008-10-06,1950.0,1500.0,1900.0,1650.0,7997000.0,1242.2734375
2008-10-07,1550.0,1480.0,1530.0,1530.0,13114000.0,1151.9263916015625
2008-10-08,1480.0,1130.0,1480.0,1250.0,2276000.0,941.1162719726562
2008-10-13,1350.0,1130.0,1350.0,1350.0,28842000.0,1016.405517578125
2008-10-14,1480.0,1380.0,1400.0,1480.0,43952000.0,1114.2816162109375
2008-10-15,1610.0,1430.0,1430.0,1610.0,14673000.0,1212.1575927734375
2008-10-16,1570.0,1450.0,1450.0,1560.0,13285000.0,1174.512939453125
2008-10-17,1630.0,1530.0,1630.0,1630.0,17099500.0,1227.215576171875
2008-10-20,1700.0,1580.0,1700.0,1700.0,12394000.0,1279.91796875
2008-10-21,1740.0,1700.0,1720.0,1720.0,6823000.0,1294.97607421875
2008-10-22,1780.0,1650.0,1650.0,1780.0,11745000.0,1340.1494140625
2008-10-23,1810.0,1720.0,1800.0,1800.0,2060500.0,1355.2073974609375
2008-10-24,1780.0,1620.0,1780.0,1650.0,8585500.0,1242.2734375
2008-10-27,1620.0,1490.0,1620.0,1490.0,892000.0,1121.810546875
2008-10-28,1400.0,1350.0,1350.0,1350.0,5485000.0,1016.405517578125
2008-10-29,1380.0,1220.0,1380.0,1220.0,2980000.0,918.529296875
2008-10-30,1310.0,1210.0,1280.0,1280.0,9531500.0,963.7030029296875
2008-10-31,1360.0,1220.0,1330.0,1330.0,24061000.0,1001.3475952148438
2008-11-03,1540.0,1350.0,1350.0,1540.0,13539000.0,1159.4549560546875
2008-11-04,1530.0,1390.0,1530.0,1430.0,14941000.0,1076.636962890625
2008-11-05,1450.0,1320.0,1450.0,1370.0,5473000.0,1031.46337890625
2008-11-06,1260.0,1240.0,1250.0,1250.0,4443500.0,941.1162719726562
2008-11-07,1340.0,1160.0,1160.0,1340.0,1313500.0,1008.876708984375
2008-11-10,1400.0,1300.0,1340.0,1340.0,1004000.0,1008.876708984375
2008-11-11,1330.0,1300.0,1330.0,1330.0,782000.0,1001.3475952148438
2008-11-12,1320.0,1270.0,1310.0,1310.0,522000.0,986.289794921875
2008-11-13,1260.0,1180.0,1210.0,1210.0,1150500.0,911.0006103515625
2008-11-14,1240.0,1160.0,1160.0,1160.0,1087000.0,873.3560180664062
2008-11-17,1170.0,1050.0,1160.0,1090.0,1894500.0,820.6533203125
2008-11-18,1070.0,990.0,1070.0,990.0,1428500.0,745.3640747070312
2008-11-19,1000.0,910.0,960.0,960.0,1886500.0,722.7771606445312
2008-11-20,930.0,870.0,930.0,930.0,744500.0,700.1904907226562
2008-11-21,950.0,840.0,880.0,950.0,1354000.0,715.2483520507812
2008-11-24,950.0,880.0,920.0,920.0,619500.0,692.6615600585938
2008-11-25,1060.0,920.0,940.0,1050.0,3573500.0,790.53759765625
2008-11-26,1130.0,1040.0,1100.0,1100.0,2231000.0,828.1821899414062
2008-11-27,1180.0,1050.0,1150.0,1080.0,793000.0,813.12451171875
2008-11-28,1170.0,1090.0,1110.0,1150.0,1982000.0,865.826904296875
2008-12-01,1160.0,1040.0,1160.0,1070.0,686000.0,805.595458984375
2008-12-02,1020.0,980.0,1020.0,1020.0,493000.0,767.9508056640625
2008-12-03,1070.0,1010.0,1060.0,1060.0,974500.0,798.0665283203125
2008-12-04,1060.0,1030.0,1060.0,1060.0,201000.0,798.0665283203125
2008-12-05,1050.0,1020.0,1050.0,1050.0,424500.0,790.53759765625
2008-12-09,1260.0,1060.0,1080.0,1260.0,3381500.0,948.6450805664062
2008-12-10,1480.0,1200.0,1200.0,1480.0,3671000.0,1114.2816162109375
2008-12-11,1510.0,1460.0,1490.0,1490.0,2172500.0,1121.810546875
2008-12-12,1480.0,1350.0,1450.0,1370.0,655000.0,1031.46337890625
2008-12-15,1420.0,1300.0,1370.0,1370.0,3896000.0,1031.46337890625
2008-12-16,1360.0,1310.0,1340.0,1340.0,1661500.0,1008.876708984375
2008-12-17,1370.0,1260.0,1290.0,1290.0,1522000.0,971.2318725585938
2008-12-18,1280.0,1220.0,1220.0,1220.0,1050000.0,918.529296875
2008-12-19,1260.0,1130.0,1260.0,1260.0,924500.0,948.6450805664062
2008-12-22,1240.0,1200.0,1240.0,1240.0,3704000.0,933.5872802734375
2008-12-23,1220.0,1150.0,1190.0,1190.0,2197500.0,895.9426879882812
2008-12-24,1150.0,1090.0,1100.0,1100.0,3499500.0,828.1821899414062
2008-12-30,1100.0,1080.0,1090.0,1090.0,436500.0,820.6533203125
2009-01-05,1140.0,1090.0,1120.0,1120.0,7284500.0,843.2401123046875
2009-01-06,1150.0,1090.0,1120.0,1100.0,16322000.0,828.1821899414062
2009-01-07,1140.0,1070.0,1090.0,1090.0,6391500.0,820.6533203125
2009-01-08,1090.0,1010.0,1050.0,1050.0,1978500.0,790.53759765625
2009-01-09,1110.0,1010.0,1050.0,1110.0,2484500.0,835.711181640625
2009-01-12,1330.0,1080.0,1100.0,1330.0,10218000.0,1001.3475952148438
2009-01-13,1480.0,1310.0,1350.0,1430.0,23146500.0,1076.636962890625
2009-01-14,1450.0,1380.0,1400.0,1400.0,6278000.0,1054.0501708984375
2009-01-15,1390.0,1260.0,1300.0,1390.0,1410000.0,1046.5211181640625
2009-01-16,1420.0,1350.0,1400.0,1400.0,557500.0,1054.0501708984375
2009-01-19,1380.0,1310.0,1310.0,1380.0,179000.0,1038.9921875
2009-01-20,1350.0,1320.0,1350.0,1350.0,201000.0,1016.405517578125
2009-01-21,1330.0,1260.0,1300.0,1300.0,80500.0,978.7608642578125
2009-01-22,1330.0,1290.0,1320.0,1320.0,449000.0,993.8187255859375
2009-01-23,1260.0,1260.0,1260.0,1260.0,5000.0,948.6450805664062
2009-01-27,1300.0,1270.0,1300.0,1300.0,310500.0,978.7608642578125
2009-01-28,1290.0,1230.0,1260.0,1260.0,375000.0,948.6450805664062
2009-01-29,1310.0,1230.0,1260.0,1260.0,2515500.0,948.6450805664062
2009-01-30,1280.0,1250.0,1270.0,1270.0,577500.0,956.1741943359375
2009-02-02,1290.0,1230.0,1280.0,1280.0,350500.0,963.7030029296875
2009-02-03,1270.0,1250.0,1260.0,1260.0,35500.0,948.6450805664062
2009-02-04,1300.0,1260.0,1280.0,1280.0,780500.0,963.7030029296875
2009-02-05,1340.0,1290.0,1330.0,1330.0,3415500.0,1001.3475952148438
2009-02-06,1430.0,1350.0,1350.0,1420.0,3197000.0,1069.1080322265625
2009-02-09,1440.0,1350.0,1380.0,1380.0,1089000.0,1038.9921875
2009-02-10,1420.0,1360.0,1390.0,1390.0,286000.0,1046.5211181640625
2009-02-11,1480.0,1350.0,1350.0,1440.0,6133500.0,1084.166015625
2009-02-12,1470.0,1410.0,1440.0,1440.0,1964000.0,1084.166015625
2009-02-13,1540.0,1440.0,1450.0,1530.0,6858500.0,1151.9263916015625
2009-02-16,1680.0,1530.0,1560.0,1560.0,4459500.0,1174.512939453125
2009-02-17,1560.0,1560.0,1560.0,1560.0,0.0,1174.512939453125
2009-02-18,1640.0,1520.0,1550.0,1550.0,3385000.0,1166.9840087890625
2009-02-19,1550.0,1450.0,1550.0,1550.0,1437000.0,1166.9840087890625
2009-02-20,1560.0,1480.0,1500.0,1500.0,589000.0,1129.339599609375
2009-02-23,1510.0,1450.0,1510.0,1510.0,607000.0,1136.8682861328125
2009-02-24,1500.0,1440.0,1480.0,1480.0,411500.0,1114.2816162109375
2009-02-25,1500.0,1420.0,1460.0,1460.0,357000.0,1099.2237548828125
2009-02-26,1620.0,1440.0,1510.0,1510.0,15188000.0,1136.8682861328125
2009-02-27,1580.0,1480.0,1510.0,1510.0,5217500.0,1136.8682861328125
2009-03-02,1500.0,1420.0,1460.0,1460.0,816500.0,1099.2237548828125
2009-03-03,1500.0,1420.0,1490.0,1490.0,613000.0,1121.810546875
2009-03-04,1540.0,1480.0,1540.0,1540.0,2595000.0,1159.4549560546875
2009-03-05,1620.0,1530.0,1550.0,1550.0,6804000.0,1166.9840087890625
2009-03-06,1560.0,1510.0,1550.0,1550.0,431000.0,1166.9840087890625
2009-03-10,1580.0,1550.0,1570.0,1570.0,945000.0,1182.0421142578125
2009-03-11,1620.0,1570.0,1580.0,1580.0,2963000.0,1189.5709228515625
2009-03-12,1600.0,1560.0,1600.0,1600.0,1218500.0,1204.6287841796875
2009-03-13,1630.0,1590.0,1610.0,1610.0,4161500.0,1212.1575927734375
2009-03-16,1630.0,1580.0,1590.0,1590.0,1711500.0,1197.099853515625
2009-03-17,1600.0,1540.0,1580.0,1580.0,727500.0,1189.5709228515625
2009-03-18,1590.0,1520.0,1520.0,1520.0,3974500.0,1144.3970947265625
2009-03-19,1530.0,1450.0,1530.0,1480.0,2455500.0,1114.2816162109375
2009-03-20,1520.0,1420.0,1420.0,1420.0,1694500.0,1069.1080322265625
2009-03-23,1460.0,1370.0,1460.0,1460.0,10459000.0,1099.2237548828125
2009-03-24,1520.0,1440.0,1490.0,1490.0,9070500.0,1121.810546875
2009-03-25,1530.0,1490.0,1500.0,1500.0,6001000.0,1129.339599609375
2009-03-27,1540.0,1500.0,1520.0,1520.0,1994000.0,1144.3970947265625
2009-03-30,1610.0,1510.0,1510.0,1510.0,12653500.0,1136.8682861328125
2009-03-31,1560.0,1510.0,1560.0,1560.0,4094500.0,1174.512939453125
2009-04-01,1610.0,1560.0,1590.0,1590.0,5940500.0,1197.099853515625
2009-04-02,1620.0,1580.0,1600.0,1600.0,5597000.0,1204.6287841796875
2009-04-03,1610.0,1570.0,1590.0,1590.0,2128500.0,1197.099853515625
2009-04-06,1660.0,1580.0,1640.0,1640.0,11109500.0,1234.7445068359375
2009-04-07,1650.0,1610.0,1640.0,1640.0,3032000.0,1234.7445068359375
2009-04-08,1660.0,1610.0,1650.0,1650.0,3768000.0,1242.2734375
2009-04-13,2025.0,1650.0,1650.0,1980.0,13970500.0,1490.7281494140625
2009-04-14,2100.0,1960.0,2025.0,2025.0,5954500.0,1524.6085205078125
2009-04-15,2075.0,1960.0,2050.0,2050.0,2735000.0,1543.430419921875
2009-04-16,2075.0,1990.0,2025.0,2025.0,4103000.0,1524.6085205078125
2009-04-17,2275.0,2025.0,2025.0,2200.0,5603500.0,1656.3643798828125
2009-04-20,2600.0,2175.0,2225.0,2375.0,13075500.0,1788.1209716796875
2009-04-22,2500.0,2250.0,2275.0,2275.0,13570000.0,1712.8314208984375
2009-04-23,2325.0,2150.0,2250.0,2250.0,1308000.0,1694.0091552734375
2009-04-24,2350.0,2200.0,2275.0,2275.0,2796500.0,1712.8314208984375
2009-04-27,2325.0,2250.0,2250.0,2250.0,2986000.0,1694.0091552734375
2009-04-28,2325.0,2200.0,2200.0,2200.0,2303000.0,1656.3643798828125
2009-04-29,2300.0,2200.0,2250.0,2250.0,3069000.0,1694.0091552734375
2009-04-30,2300.0,2175.0,2225.0,2225.0,10392500.0,1675.186767578125
2009-05-01,2300.0,2175.0,2200.0,2200.0,6161500.0,1656.3643798828125
2009-05-04,2325.0,2200.0,2250.0,2250.0,9121000.0,1694.0091552734375
2009-05-05,2325.0,2250.0,2275.0,2275.0,9584500.0,1712.8314208984375
2009-05-06,2450.0,2250.0,2425.0,2425.0,14857000.0,1825.765380859375
2009-05-07,2575.0,2425.0,2550.0,2550.0,11941500.0,1919.876953125
2009-05-08,2675.0,2525.0,2650.0,2650.0,6972500.0,1995.166259765625
2009-05-11,2750.0,2525.0,2575.0,2575.0,7165500.0,1938.6995849609375
2009-05-12,2650.0,2550.0,2625.0,2625.0,2340000.0,1976.343994140625
2009-05-13,2850.0,2625.0,2725.0,2725.0,9290000.0,2051.63330078125
2009-05-14,2775.0,2600.0,2675.0,2675.0,8771500.0,2013.98876953125
2009-05-15,2775.0,2400.0,2700.0,2450.0,9817000.0,1844.587890625
2009-05-18,2550.0,2425.0,2525.0,2525.0,2216000.0,1901.0545654296875
2009-05-19,2675.0,2450.0,2575.0,2575.0,10314500.0,1938.6995849609375
2009-05-20,2650.0,2500.0,2600.0,2600.0,7601000.0,1957.521728515625
2009-05-22,2725.0,2550.0,2675.0,2675.0,6809000.0,2013.98876953125
2009-05-25,2725.0,2650.0,2675.0,2675.0,6087000.0,2013.98876953125
2009-05-26,2750.0,2600.0,2700.0,2700.0,4832000.0,2032.81103515625
2009-05-27,2800.0,2600.0,2675.0,2675.0,48105000.0,2013.98876953125
2009-05-28,2725.0,2625.0,2675.0,2675.0,5916500.0,2013.98876953125
2009-05-29,2775.0,2675.0,2725.0,2725.0,13324000.0,2051.63330078125
2009-06-01,2800.0,2725.0,2775.0,2775.0,23029500.0,2089.278076171875
2009-06-02,2900.0,2750.0,2800.0,2800.0,33360500.0,2108.100341796875
2009-06-03,2925.0,2750.0,2825.0,2825.0,58224000.0,2126.922607421875
2009-06-04,2950.0,2800.0,2875.0,2875.0,12512000.0,2164.5673828125
2009-06-05,2925.0,2850.0,2925.0,2925.0,8760000.0,2202.2119140625
2009-06-08,2950.0,2850.0,2875.0,2875.0,29306500.0,2164.5673828125
2009-06-09,2900.0,2800.0,2850.0,2850.0,8224500.0,2145.7451171875
2009-06-10,2875.0,2750.0,2875.0,2875.0,9410000.0,2164.5673828125
2009-06-11,2975.0,2800.0,2825.0,2825.0,74205000.0,2126.922607421875
