Date,High,Low,Open,Close,Volume,Adj Close
2019-06-04,170.0,170.0,170.0,170.0,0.0,170.0
2019-06-05,170.0,170.0,170.0,170.0,0.0,170.0
2019-06-06,170.0,170.0,170.0,170.0,0.0,170.0
2019-06-07,170.0,170.0,170.0,170.0,0.0,170.0
2019-06-10,170.0,170.0,170.0,170.0,100.0,170.0
2019-06-11,168.0,151.0,161.0,168.0,2900.0,168.0
2019-06-12,170.0,162.0,164.0,166.0,18300.0,166.0
2019-06-13,158.0,154.0,156.0,158.0,37500.0,158.0
2019-06-14,169.0,154.0,154.0,169.0,300.0,169.0
2019-06-17,165.0,164.0,164.0,164.0,5800.0,164.0
2019-06-18,216.0,157.0,164.0,157.0,27600.0,157.0
2019-06-19,165.0,157.0,157.0,158.0,1600.0,158.0
2019-06-20,158.0,158.0,158.0,158.0,0.0,158.0
2019-06-21,158.0,158.0,158.0,158.0,100.0,158.0
2019-06-24,166.0,150.0,166.0,150.0,16600.0,150.0
2019-06-25,152.0,150.0,152.0,150.0,10000.0,150.0
2019-06-26,150.0,150.0,150.0,150.0,0.0,150.0
2019-06-27,150.0,140.0,150.0,140.0,23400.0,140.0
2019-06-28,140.0,140.0,140.0,140.0,0.0,140.0
2019-07-01,143.0,143.0,143.0,143.0,2000.0,143.0
2019-07-02,160.0,145.0,145.0,156.0,3500.0,156.0
2019-07-03,156.0,156.0,156.0,156.0,500.0,156.0
2019-07-04,166.0,166.0,166.0,166.0,100.0,166.0
2019-07-05,166.0,149.0,166.0,149.0,24600.0,149.0
2019-07-08,166.0,141.0,144.0,154.0,59500.0,154.0
2019-07-09,164.0,143.0,164.0,145.0,22900.0,145.0
2019-07-10,145.0,145.0,145.0,145.0,0.0,145.0
2019-07-11,156.0,141.0,145.0,156.0,15900.0,156.0
2019-07-12,155.0,155.0,155.0,155.0,1000.0,155.0
2019-07-15,155.0,146.0,155.0,152.0,400.0,152.0
2019-07-16,152.0,152.0,152.0,152.0,700.0,152.0
2019-07-17,152.0,152.0,152.0,152.0,0.0,152.0
2019-07-18,152.0,152.0,152.0,152.0,0.0,152.0
2019-07-19,148.0,144.0,145.0,148.0,1400.0,148.0
2019-07-22,142.0,142.0,142.0,142.0,1100.0,142.0
2019-07-23,149.0,141.0,142.0,145.0,9600.0,145.0
2019-07-24,144.0,141.0,144.0,141.0,600.0,141.0
2019-07-25,181.0,141.0,141.0,160.0,91500.0,160.0
2019-07-26,152.0,148.0,152.0,148.0,4800.0,148.0
2019-07-29,172.0,148.0,148.0,168.0,1100.0,168.0
2019-07-30,175.0,168.0,175.0,169.0,400.0,169.0
2019-07-31,169.0,169.0,169.0,169.0,0.0,169.0
2019-08-01,155.0,144.0,155.0,144.0,200.0,144.0
2019-08-02,152.0,140.0,140.0,152.0,1900.0,152.0
2019-08-05,161.0,152.0,152.0,161.0,200.0,161.0
2019-08-06,161.0,161.0,161.0,161.0,3100.0,161.0
2019-08-07,168.0,168.0,168.0,168.0,100.0,168.0
2019-08-08,168.0,168.0,168.0,168.0,0.0,168.0
2019-08-09,168.0,168.0,168.0,168.0,0.0,168.0
2019-08-12,178.0,167.0,178.0,167.0,1200.0,167.0
2019-08-13,167.0,167.0,167.0,167.0,0.0,167.0
2019-08-14,177.0,166.0,177.0,166.0,900.0,166.0
2019-08-15,166.0,166.0,166.0,166.0,0.0,166.0
2019-08-16,166.0,166.0,166.0,166.0,0.0,166.0
2019-08-19,166.0,166.0,166.0,166.0,0.0,166.0
2019-08-20,166.0,166.0,166.0,166.0,0.0,166.0
2019-08-21,166.0,166.0,166.0,166.0,0.0,166.0
2019-08-22,140.0,140.0,140.0,140.0,400.0,140.0
2019-08-23,144.0,140.0,143.0,140.0,66200.0,140.0
