Date,High,Low,Open,Close,Volume,Adj Close
2019-06-05,3390,3390,3390,3390,0,3390
2019-06-06,3390,3390,3390,3390,0,3390
2019-06-07,3390,3390,3390,3390,0,3390
2019-06-10,3450,3370,3400,3370,228200,3370
2019-06-11,3410,3360,3370,3400,901100,3400
2019-06-12,3410,3380,3400,3400,596100,3400
2019-06-13,3440,3400,3400,3420,545300,3420
2019-06-14,3430,3390,3430,3400,103600,3400
2019-06-17,3430,3370,3430,3370,107600,3370
2019-06-18,3380,3250,3380,3350,65500,3350
2019-06-19,3370,3330,3350,3360,193800,3360
2019-06-20,3370,3360,3360,3370,80300,3370
2019-06-21,3400,3350,3370,3350,62800,3350
2019-06-24,3380,3310,3350,3350,118000,3350
2019-06-25,3400,3350,3350,3380,922600,3380
2019-06-26,3440,3360,3390,3370,6771000,3370
2019-06-27,3370,3320,3370,3360,528300,3360
2019-06-28,3380,3360,3360,3360,48500,3360
2019-07-01,3360,3290,3360,3300,172100,3300
2019-07-02,3350,3260,3300,3300,130400,3300
2019-07-03,3410,3290,3300,3340,275300,3340
2019-07-04,3350,3290,3340,3300,70200,3300
2019-07-05,3340,3300,3300,3330,13800,3330
2019-07-08,3350,3300,3330,3300,529700,3300
2019-07-09,3320,3300,3300,3320,1371500,3320
2019-07-10,3380,3320,3350,3320,57600,3320
2019-07-11,3390,3290,3330,3290,62000,3290
2019-07-12,3340,3280,3290,3280,84900,3280
2019-07-15,3280,3240,3280,3280,102400,3280
2019-07-16,3310,3270,3280,3280,12922300,3280
2019-07-17,3300,3260,3280,3270,3161200,3270
2019-07-18,3290,3250,3270,3250,73400,3250
2019-07-19,3290,3210,3250,3250,39400,3250
2019-07-22,3270,3230,3250,3230,46300,3230
2019-07-23,3440,3220,3250,3390,9568200,3390
2019-07-24,3430,3290,3400,3310,289700,3310
2019-07-25,3380,3280,3310,3280,41300,3280
2019-07-26,3300,3200,3280,3220,144700,3220
2019-07-29,3300,3200,3230,3210,45200,3210
2019-07-30,3290,3200,3210,3210,67700,3210
2019-07-31,3220,3200,3210,3200,58700,3200
2019-08-01,3220,3140,3210,3140,233700,3140
2019-08-02,3320,3140,3150,3200,316200,3200
2019-08-05,3250,3180,3210,3200,304800,3200
2019-08-06,3200,3050,3200,3100,118000,3100
2019-08-07,3200,3100,3100,3140,49900,3140
2019-08-08,3170,3070,3150,3150,132400,3150
2019-08-09,3170,3130,3170,3140,21300,3140
2019-08-12,3140,3070,3140,3120,81100,3120
2019-08-13,3120,3040,3120,3080,49300,3080
2019-08-14,3130,3080,3100,3100,523600,3100
2019-08-15,3100,3050,3080,3060,262100,3060
2019-08-16,3410,3050,3060,3400,517200,3400
2019-08-19,3460,3230,3400,3360,936400,3360
2019-08-20,3350,3230,3350,3260,104900,3260
2019-08-21,3350,3200,3260,3240,70700,3240
2019-08-22,3240,3150,3240,3150,230500,3150
2019-08-23,3240,3130,3210,3210,96000,3210
