Date,High,Low,Open,Close,Volume,Adj Close
2011-04-06,1850.0,1650.0,1780.0,1780.0,71012000.0,1345.74609375
2011-04-07,1810.0,1700.0,1720.0,1720.0,18528000.0,1300.3839111328125
2011-04-08,1730.0,1700.0,1700.0,1700.0,2734000.0,1285.26318359375
2011-04-11,1710.0,1650.0,1670.0,1670.0,7829500.0,1262.58203125
2011-04-12,1720.0,1660.0,1720.0,1720.0,8556000.0,1300.3839111328125
2011-04-13,1750.0,1710.0,1750.0,1750.0,10276500.0,1323.06494140625
2011-04-14,1750.0,1700.0,1730.0,1730.0,724000.0,1307.9444580078125
2011-04-15,1740.0,1720.0,1740.0,1740.0,2111500.0,1315.5047607421875
2011-04-18,1740.0,1670.0,1680.0,1680.0,1948500.0,1270.1424560546875
2011-04-19,1680.0,1660.0,1680.0,1680.0,749000.0,1270.1424560546875
2011-04-20,1700.0,1670.0,1680.0,1680.0,1112000.0,1270.1424560546875
2011-04-21,1680.0,1660.0,1680.0,1680.0,551500.0,1270.1424560546875
2011-04-25,1680.0,1670.0,1680.0,1680.0,574500.0,1270.1424560546875
2011-04-26,1670.0,1650.0,1660.0,1660.0,1984500.0,1255.021728515625
2011-04-27,1670.0,1630.0,1660.0,1660.0,2405000.0,1255.021728515625
2011-04-28,1650.0,1640.0,1650.0,1650.0,352000.0,1247.46142578125
2011-04-29,1670.0,1650.0,1660.0,1660.0,1196500.0,1255.021728515625
2011-05-02,1650.0,1640.0,1650.0,1650.0,44000.0,1247.46142578125
2011-05-03,1640.0,1620.0,1630.0,1630.0,989000.0,1232.340576171875
2011-05-04,1660.0,1620.0,1640.0,1640.0,1310000.0,1239.9010009765625
2011-05-05,1660.0,1630.0,1660.0,1660.0,1287000.0,1255.021728515625
2011-05-06,1650.0,1640.0,1650.0,1650.0,386500.0,1247.46142578125
2011-05-09,1640.0,1640.0,1640.0,1640.0,294500.0,1239.9010009765625
2011-05-10,1640.0,1620.0,1640.0,1640.0,35000.0,1239.9010009765625
