Date,High,Low,Open,Close,Volume,Adj Close
2019-06-04,193,193,193,193,0,193
2019-06-05,193,193,193,193,0,193
2019-06-06,193,193,193,193,0,193
2019-06-07,193,193,193,193,0,193
2019-06-10,218,193,193,212,22014800,212
2019-06-11,218,204,216,206,10666000,206
2019-06-12,224,206,208,220,33049000,220
2019-06-13,224,208,222,212,10131500,212
2019-06-14,212,198,206,202,9013000,202
2019-06-17,210,192,202,193,10155400,193
2019-06-18,202,193,193,198,7292200,198
2019-06-19,202,194,199,195,6788500,195
2019-06-20,212,195,195,200,15615900,200
2019-06-21,204,198,202,199,4096000,199
2019-06-24,216,198,200,216,21786400,216
2019-06-25,246,218,220,234,95295200,234
2019-06-26,236,218,234,220,15990900,220
2019-06-27,226,214,218,218,13610800,218
2019-06-28,222,212,220,214,6340000,214
2019-07-01,218,204,216,208,10432300,208
2019-07-02,234,208,210,234,28520800,234
2019-07-03,242,218,236,218,31635600,218
2019-07-04,226,212,220,216,17164000,216
2019-07-05,226,216,216,226,9661600,226
2019-07-08,242,220,228,242,38587300,242
2019-07-09,270,240,268,240,72290900,240
2019-07-10,244,226,244,232,21064200,232
2019-07-11,238,228,232,228,8597700,228
2019-07-12,236,228,228,232,10082300,232
2019-07-15,236,224,236,226,10053300,226
2019-07-16,226,206,206,218,11278100,218
2019-07-17,220,208,218,212,7245800,212
2019-07-18,218,208,210,210,5322700,210
2019-07-19,216,210,210,214,3533400,214
2019-07-22,220,204,214,204,5244200,204
2019-07-23,220,204,204,216,8915900,216
2019-07-24,224,216,218,220,17121000,220
2019-07-25,226,208,222,212,10539500,212
2019-07-26,210,206,210,206,4105900,206
2019-07-29,212,204,206,208,3905100,208
2019-07-30,214,208,210,210,3859000,210
2019-07-31,210,204,210,206,4199400,206
2019-08-01,208,195,206,195,22446500,195
2019-08-02,195,192,195,193,4258900,193
2019-08-05,193,184,193,187,4183400,187
2019-08-06,184,173,184,183,5016200,183
2019-08-07,185,182,183,185,1709300,185
2019-08-08,193,186,187,190,4182200,190
2019-08-09,194,187,193,188,1269200,188
2019-08-12,193,185,188,186,1765000,186
2019-08-13,187,182,185,183,1484500,183
2019-08-14,190,182,190,185,4415700,185
2019-08-15,183,177,183,177,4837500,177
2019-08-16,179,173,177,176,6833000,176
2019-08-19,179,175,179,175,1610400,175
2019-08-20,178,175,175,176,1716900,176
2019-08-21,188,176,176,183,6146500,183
2019-08-22,186,176,185,176,3290800,176
2019-08-23,178,173,177,173,2270500,173
