Date,High,Low,Open,Close,Volume,Adj Close
2019-04-11,710.0,690.0,695.0,700.0,10202200.0,700.0
2019-04-12,705.0,695.0,705.0,700.0,9404100.0,700.0
2019-04-15,710.0,705.0,705.0,705.0,12261600.0,705.0
2019-04-16,710.0,700.0,705.0,710.0,8666900.0,710.0
2019-04-17,710.0,710.0,710.0,710.0,0.0,710.0
2019-04-18,705.0,695.0,705.0,695.0,15786200.0,695.0
2019-04-19,695.0,695.0,695.0,695.0,0.0,695.0
2019-04-22,695.0,690.0,695.0,690.0,10126600.0,690.0
2019-04-23,695.0,690.0,690.0,695.0,12296600.0,695.0
2019-04-24,695.0,690.0,690.0,690.0,9493400.0,690.0
2019-04-25,690.0,680.0,685.0,690.0,16096400.0,690.0
2019-04-26,705.0,685.0,685.0,700.0,10473800.0,700.0
2019-04-29,755.0,700.0,700.0,705.0,33572700.0,705.0
2019-04-30,740.0,690.0,705.0,695.0,19321100.0,695.0
2019-05-01,695.0,695.0,695.0,695.0,0.0,695.0
2019-05-02,695.0,680.0,695.0,695.0,15459200.0,695.0
2019-05-03,695.0,685.0,695.0,695.0,13397500.0,695.0
2019-05-06,700.0,690.0,690.0,700.0,15871900.0,700.0
2019-05-07,710.0,695.0,700.0,710.0,11024800.0,710.0
2019-05-08,735.0,705.0,705.0,720.0,12685500.0,720.0
2019-05-09,720.0,710.0,720.0,720.0,13353700.0,720.0
2019-05-10,735.0,715.0,715.0,735.0,12096800.0,735.0
2019-05-13,755.0,735.0,735.0,755.0,14537800.0,755.0
2019-05-14,760.0,730.0,755.0,745.0,10959200.0,745.0
2019-05-15,745.0,720.0,745.0,725.0,12753100.0,725.0
2019-05-16,720.0,695.0,720.0,700.0,13903300.0,700.0
2019-05-17,700.0,690.0,695.0,700.0,23699700.0,700.0
2019-05-20,735.0,695.0,700.0,735.0,31534500.0,735.0
2019-05-21,790.0,730.0,735.0,770.0,34919500.0,770.0
2019-05-22,775.0,740.0,770.0,745.0,26029200.0,745.0
2019-05-23,835.0,695.0,745.0,770.0,40976600.0,770.0
2019-05-24,770.0,755.0,770.0,755.0,10458300.0,755.0
2019-05-27,750.0,740.0,750.0,740.0,9372700.0,740.0
2019-05-28,740.0,720.0,740.0,720.0,11833700.0,720.0
2019-05-29,755.0,670.0,715.0,735.0,18105300.0,735.0
2019-05-30,735.0,735.0,735.0,735.0,0.0,735.0
2019-05-31,740.0,730.0,730.0,735.0,12591400.0,735.0
2019-06-03,735.0,735.0,735.0,735.0,0.0,735.0
2019-06-04,735.0,735.0,735.0,735.0,0.0,735.0
2019-06-05,735.0,735.0,735.0,735.0,0.0,735.0
2019-06-06,735.0,735.0,735.0,735.0,0.0,735.0
2019-06-07,735.0,735.0,735.0,735.0,0.0,735.0
2019-06-10,740.0,730.0,730.0,740.0,12601600.0,740.0
2019-06-11,750.0,740.0,740.0,750.0,31467600.0,750.0
2019-06-12,755.0,740.0,750.0,745.0,12292000.0,745.0
2019-06-13,750.0,735.0,745.0,740.0,12832400.0,740.0
2019-06-14,745.0,730.0,745.0,735.0,11118400.0,735.0
2019-06-17,740.0,730.0,730.0,740.0,13278000.0,740.0
2019-06-18,740.0,730.0,735.0,735.0,11121200.0,735.0
2019-06-19,730.0,715.0,730.0,715.0,11477000.0,715.0
2019-06-20,715.0,690.0,715.0,700.0,10630300.0,700.0
2019-06-21,700.0,690.0,700.0,700.0,13559500.0,700.0
2019-06-24,705.0,695.0,700.0,705.0,11572200.0,705.0
2019-06-25,710.0,695.0,705.0,700.0,12091900.0,700.0
2019-06-26,700.0,690.0,700.0,695.0,9831300.0,695.0
2019-06-27,700.0,690.0,695.0,695.0,16377800.0,695.0
2019-06-28,695.0,690.0,695.0,695.0,13208300.0,695.0
2019-07-01,695.0,690.0,695.0,695.0,11243500.0,695.0
2019-07-02,740.0,695.0,695.0,735.0,15170800.0,735.0
2019-07-03,735.0,725.0,735.0,730.0,12603300.0,730.0
2019-07-04,750.0,725.0,730.0,745.0,17118400.0,745.0
2019-07-05,755.0,740.0,750.0,750.0,14405800.0,750.0
2019-07-08,755.0,740.0,750.0,755.0,15300000.0,755.0
2019-07-09,770.0,750.0,750.0,765.0,13892700.0,765.0
2019-07-10,765.0,760.0,765.0,765.0,12056800.0,765.0
2019-07-11,765.0,750.0,760.0,755.0,11740500.0,755.0
2019-07-12,760.0,745.0,755.0,745.0,13236600.0,745.0
2019-07-15,745.0,740.0,745.0,745.0,12336900.0,745.0
2019-07-16,750.0,740.0,745.0,745.0,14856100.0,745.0
2019-07-17,755.0,745.0,745.0,755.0,13467000.0,755.0
2019-07-18,765.0,750.0,750.0,760.0,14724700.0,760.0
2019-07-19,775.0,760.0,760.0,760.0,13181900.0,760.0
2019-07-22,760.0,745.0,760.0,755.0,14042100.0,755.0
2019-07-23,755.0,750.0,755.0,755.0,12833700.0,755.0
2019-07-24,755.0,750.0,755.0,755.0,16789000.0,755.0
2019-07-25,755.0,740.0,755.0,745.0,15896600.0,745.0
2019-07-26,745.0,720.0,745.0,720.0,12838200.0,720.0
2019-07-29,720.0,705.0,720.0,705.0,11937000.0,705.0
2019-07-30,750.0,705.0,705.0,750.0,12498600.0,750.0
2019-07-31,760.0,750.0,750.0,760.0,13674100.0,760.0
2019-08-01,775.0,760.0,760.0,770.0,13512100.0,770.0
2019-08-02,790.0,770.0,775.0,770.0,14531500.0,770.0
2019-08-05,770.0,750.0,770.0,750.0,11402100.0,750.0
2019-08-06,750.0,725.0,750.0,740.0,14042000.0,740.0
2019-08-07,750.0,740.0,740.0,750.0,10724200.0,750.0
2019-08-08,775.0,750.0,750.0,765.0,14013400.0,765.0
2019-08-09,775.0,760.0,765.0,770.0,13954800.0,770.0
2019-08-12,770.0,760.0,765.0,770.0,11301600.0,770.0
2019-08-13,770.0,755.0,770.0,760.0,10978100.0,760.0
2019-08-14,775.0,750.0,760.0,765.0,14424200.0,765.0
2019-08-15,765.0,755.0,760.0,765.0,11464600.0,765.0
2019-08-16,770.0,760.0,760.0,765.0,13640600.0,765.0
2019-08-20,770.0,760.0,760.0,765.0,13827300.0,765.0
2019-08-21,795.0,765.0,765.0,795.0,14458600.0,795.0
2019-08-22,805.0,785.0,795.0,790.0,14952200.0,790.0
2019-08-23,805.0,785.0,785.0,805.0,14239400.0,805.0
