Date,High,Low,Open,Close,Volume,Adj Close
2019-06-05,318,318,318,318,0,318
2019-06-06,318,318,318,318,0,318
2019-06-07,318,318,318,318,0,318
2019-06-10,332,318,332,318,22700,318
2019-06-11,324,316,320,316,65200,316
2019-06-12,326,314,326,316,96800,316
2019-06-13,316,314,316,314,36500,314
2019-06-14,314,300,314,306,474100,306
2019-06-17,310,302,306,302,90500,302
2019-06-18,308,298,300,304,139200,304
2019-06-19,306,300,304,306,283600,306
2019-06-20,310,290,306,302,189800,302
2019-06-21,306,292,292,298,55500,298
2019-06-24,318,290,290,308,812500,308
2019-06-25,312,300,308,308,293800,308
2019-06-26,310,300,308,300,122700,300
2019-06-27,300,294,294,300,27100,300
2019-06-28,300,288,300,290,224200,290
2019-07-01,290,270,290,284,539400,284
2019-07-02,286,280,284,284,43200,284
2019-07-03,288,274,274,282,94700,282
2019-07-04,288,272,272,284,47600,284
2019-07-05,288,278,280,280,44600,280
2019-07-08,288,270,270,274,24700,274
2019-07-09,280,270,274,272,124300,272
2019-07-10,274,266,272,270,99000,270
2019-07-11,274,266,266,270,259000,270
2019-07-12,268,268,268,268,22600,268
2019-07-15,280,266,278,270,81800,270
2019-07-16,272,268,272,268,30700,268
2019-07-17,270,262,268,262,19800,262
2019-07-18,262,250,262,256,306600,256
2019-07-19,266,254,258,264,61900,264
2019-07-22,278,266,266,268,243900,268
2019-07-23,276,260,260,268,116200,268
2019-07-24,276,268,270,268,95400,268
2019-07-25,270,262,262,266,63200,266
2019-07-26,278,264,268,264,40300,264
2019-07-29,272,262,264,264,22600,264
2019-07-30,276,266,266,266,98200,266
2019-07-31,270,264,266,268,28700,268
2019-08-01,268,260,268,260,43600,260
2019-08-02,266,260,262,262,39200,262
2019-08-05,262,254,258,254,357300,254
2019-08-06,260,242,254,260,161900,260
2019-08-07,270,250,262,250,177700,250
2019-08-08,264,248,248,262,125300,262
2019-08-09,266,258,266,258,6000,258
2019-08-12,262,252,260,262,28200,262
2019-08-13,260,250,260,252,126600,252
2019-08-14,260,250,260,256,30700,256
2019-08-15,258,246,250,248,129300,248
2019-08-16,256,240,256,240,95200,240
2019-08-19,250,238,240,248,22500,248
2019-08-20,252,242,252,242,57500,242
2019-08-21,248,238,240,238,28000,238
2019-08-22,250,238,238,242,31100,242
2019-08-23,252,248,248,248,98200,248
