Date,High,Low,Open,Close,Volume,Adj Close
2019-06-05,1460,1460,1460,1460,0,1460
2019-06-06,1460,1460,1460,1460,0,1460
2019-06-07,1460,1460,1460,1460,0,1460
2019-06-10,1470,1460,1460,1470,16000,1470
2019-06-11,1545,1475,1490,1535,158600,1535
2019-06-12,1550,1510,1530,1510,9900,1510
2019-06-13,1510,1500,1510,1500,2800,1500
2019-06-14,1500,1490,1500,1490,17200,1490
2019-06-17,1515,1480,1490,1515,30900,1515
2019-06-18,1515,1490,1515,1500,68200,1500
2019-06-19,1515,1495,1515,1500,4200,1500
2019-06-20,1520,1485,1495,1505,103700,1505
2019-06-21,1520,1505,1520,1505,2000,1505
2019-06-24,1505,1505,1505,1505,200,1505
2019-06-25,1600,1495,1505,1565,82300,1565
2019-06-26,1570,1565,1565,1570,2600,1570
2019-06-27,1610,1570,1570,1600,65500,1600
2019-06-28,1620,1570,1600,1570,42700,1570
2019-07-01,1610,1600,1600,1600,69500,1600
2019-07-02,1600,1575,1600,1575,2500,1575
2019-07-03,1575,1570,1575,1570,4200,1570
2019-07-04,1600,1570,1570,1600,79500,1600
2019-07-05,1600,1575,1600,1575,7100,1575
2019-07-08,1590,1575,1575,1575,28400,1575
2019-07-09,1595,1585,1595,1585,1000,1585
2019-07-10,1585,1570,1575,1585,132100,1585
2019-07-11,1590,1585,1585,1590,55100,1590
2019-07-12,1595,1575,1575,1580,503700,1580
2019-07-15,1590,1550,1580,1550,72100,1550
2019-07-16,1585,1510,1550,1530,29100,1530
2019-07-17,1530,1530,1530,1530,0,1530
2019-07-18,1580,1530,1580,1530,19600,1530
2019-07-19,1550,1500,1530,1545,165800,1545
2019-07-22,1525,1500,1505,1525,100900,1525
2019-07-23,1530,1505,1525,1505,11400,1505
2019-07-24,1500,1500,1500,1500,2800,1500
2019-07-25,1530,1495,1500,1500,2800,1500
2019-07-26,1510,1495,1510,1495,42800,1495
2019-07-29,1520,1370,1520,1395,30600,1395
2019-07-30,1490,1400,1400,1440,4000,1440
2019-07-31,1440,1400,1440,1400,11900,1400
2019-08-01,1405,1380,1400,1405,19100,1405
2019-08-02,1405,1385,1405,1385,1700,1385
2019-08-05,1485,1385,1385,1385,14300,1385
2019-08-06,1410,1355,1385,1380,11100,1380
2019-08-07,1380,1380,1380,1380,8100,1380
2019-08-08,1385,1380,1380,1380,900,1380
2019-08-09,1390,1385,1390,1385,2000,1385
2019-08-12,1425,1330,1420,1330,113800,1330
2019-08-13,1390,1330,1330,1390,125400,1390
2019-08-14,1390,1375,1390,1375,2200,1375
2019-08-15,1400,1360,1390,1400,68700,1400
2019-08-16,1405,1390,1405,1400,117700,1400
2019-08-19,1425,1400,1405,1400,2900,1400
2019-08-20,1430,1365,1420,1370,9200,1370
2019-08-21,1380,1370,1370,1380,3900,1380
2019-08-22,1360,1350,1350,1360,8100,1360
2019-08-23,1360,1360,1360,1360,500,1360
