Date,High,Low,Open,Close,Volume,Adj Close
2012-07-06,550.0,480.0,531.25,531.25,54252000.0,409.9267272949219
2012-07-09,531.25,506.25,512.5,512.5,1458000.0,395.458740234375
2012-07-10,525.0,497.5,500.0,500.0,2590000.0,385.8133850097656
2012-07-11,500.0,475.0,490.0,490.0,4844000.0,378.0971374511719
2012-07-12,485.0,475.0,485.0,485.0,1854000.0,374.2389831542969
2012-07-13,485.0,472.5,480.0,480.0,1382000.0,370.380859375
2012-07-16,480.0,472.5,472.5,472.5,672000.0,364.5936584472656
2012-07-17,475.0,460.0,460.0,460.0,702000.0,354.94830322265625
2012-07-18,462.5,437.5,445.0,445.0,2170000.0,343.3739013671875
2012-07-19,450.0,440.0,442.5,442.5,560000.0,341.44482421875
2012-07-20,440.0,425.0,437.5,437.5,352000.0,337.5867004394531
2012-07-23,425.0,400.0,400.0,400.0,986000.0,308.6507263183594
2012-07-24,410.0,387.5,400.0,400.0,584000.0,308.6507263183594
2012-07-25,400.0,392.5,397.5,397.5,138000.0,306.7216491699219
2012-07-26,400.0,392.5,392.5,392.5,130000.0,302.8634948730469
2012-07-27,477.5,395.0,442.5,442.5,7900000.0,341.44482421875
2012-07-30,457.5,410.0,432.5,432.5,1910000.0,333.72857666015625
2012-07-31,435.0,417.5,417.5,417.5,394000.0,322.1541442871094
2012-08-01,425.0,395.0,407.5,407.5,368000.0,314.4378662109375
2012-08-02,415.0,377.5,380.0,380.0,1652000.0,293.2181396484375
2012-08-03,395.0,375.0,392.5,392.5,232000.0,302.8634948730469
2012-08-06,397.5,382.5,387.5,387.5,270000.0,299.00537109375
2012-08-07,387.5,367.5,375.0,375.0,1220000.0,289.36004638671875
2012-08-08,377.5,372.5,377.5,377.5,1428000.0,291.2890625
2012-08-09,377.5,370.0,377.5,377.5,256000.0,291.2890625
2012-08-10,380.0,367.5,380.0,380.0,536000.0,293.2181396484375
2012-08-13,375.0,370.0,375.0,375.0,428000.0,289.36004638671875
2012-08-14,377.5,367.5,375.0,375.0,178000.0,289.36004638671875
2012-08-15,375.0,370.0,375.0,375.0,346000.0,289.36004638671875
2012-08-16,392.5,367.5,392.5,392.5,720000.0,302.8634948730469
2012-08-23,392.5,377.5,392.5,392.5,40000.0,302.8634948730469
2012-08-24,390.0,377.5,390.0,390.0,62000.0,300.9344482421875
2012-08-27,385.0,367.5,377.5,377.5,120000.0,291.2890625
2012-08-28,385.0,370.0,375.0,375.0,20000.0,289.36004638671875
2012-08-29,375.0,357.5,370.0,370.0,100000.0,285.5019226074219
2012-08-30,367.5,352.5,362.5,362.5,54000.0,279.7147216796875
2012-08-31,367.5,360.0,367.5,367.5,276000.0,283.5728454589844
2012-09-03,372.5,367.5,372.5,372.5,390000.0,287.43096923828125
2012-09-04,372.5,370.0,372.5,372.5,52000.0,287.43096923828125
2012-09-05,372.5,372.5,372.5,372.5,52000.0,287.43096923828125
2012-09-06,372.5,367.5,370.0,370.0,120000.0,285.5019226074219
2012-09-07,370.0,367.5,370.0,370.0,20000.0,285.5019226074219
2012-09-10,370.0,367.5,367.5,367.5,4000.0,283.5728454589844
2012-09-11,362.5,337.5,362.5,362.5,106000.0,279.7147216796875
2012-09-12,372.5,350.0,362.5,362.5,376000.0,279.7147216796875
2012-09-13,365.0,350.0,360.0,360.0,8000.0,277.78564453125
2012-09-14,375.0,345.0,367.5,367.5,488000.0,283.5728454589844
2012-09-17,370.0,367.5,367.5,367.5,168000.0,283.5728454589844
2012-09-18,375.0,355.0,370.0,370.0,282000.0,285.5019226074219
2012-09-19,370.0,350.0,367.5,367.5,230000.0,283.5728454589844
2012-09-20,367.5,367.5,367.5,367.5,230000.0,283.5728454589844
2012-09-21,370.0,355.0,370.0,370.0,280000.0,285.5019226074219
2012-09-24,367.5,352.5,362.5,362.5,84000.0,279.7147216796875
2012-09-25,367.5,355.0,362.5,362.5,56000.0,279.7147216796875
2012-09-26,357.5,357.5,357.5,357.5,4000.0,275.8565979003906
