Date,High,Low,Open,Close,Volume,Adj Close
2019-06-05,308.0,308.0,308.0,308.0,0.0,308.0
2019-06-06,308.0,308.0,308.0,308.0,0.0,308.0
2019-06-07,308.0,308.0,308.0,308.0,0.0,308.0
2019-06-10,308.0,276.0,308.0,280.0,124600.0,280.0
2019-06-11,298.0,280.0,280.0,280.0,15600.0,280.0
2019-06-12,286.0,280.0,280.0,282.0,36600.0,282.0
2019-06-13,288.0,280.0,282.0,282.0,145400.0,282.0
2019-06-14,286.0,282.0,282.0,286.0,23900.0,286.0
2019-06-17,288.0,282.0,286.0,282.0,6000.0,282.0
2019-06-18,292.0,282.0,282.0,292.0,20200.0,292.0
2019-06-19,298.0,290.0,292.0,294.0,10700.0,294.0
2019-06-20,298.0,296.0,296.0,298.0,1600.0,298.0
2019-06-21,300.0,290.0,298.0,298.0,104600.0,298.0
2019-06-24,296.0,290.0,290.0,296.0,100600.0,296.0
2019-06-25,296.0,294.0,296.0,294.0,3500.0,294.0
2019-06-26,294.0,294.0,294.0,294.0,32300.0,294.0
2019-06-27,294.0,294.0,294.0,294.0,1300.0,294.0
2019-06-28,294.0,294.0,294.0,294.0,0.0,294.0
2019-07-01,290.0,286.0,290.0,286.0,1500.0,286.0
2019-07-02,300.0,284.0,286.0,298.0,6300.0,298.0
2019-07-03,296.0,290.0,290.0,296.0,1300.0,296.0
2019-07-04,296.0,296.0,296.0,296.0,500.0,296.0
2019-07-05,300.0,300.0,300.0,300.0,109700.0,300.0
2019-07-08,300.0,300.0,300.0,300.0,5100.0,300.0
2019-07-09,300.0,300.0,300.0,300.0,2800.0,300.0
2019-07-10,300.0,282.0,300.0,282.0,2300.0,282.0
2019-07-11,288.0,280.0,282.0,286.0,32000.0,286.0
2019-07-12,288.0,288.0,288.0,288.0,23300.0,288.0
2019-07-15,292.0,292.0,292.0,292.0,1000.0,292.0
2019-07-16,292.0,292.0,292.0,292.0,0.0,292.0
2019-07-17,282.0,282.0,282.0,282.0,7200.0,282.0
2019-07-18,298.0,280.0,280.0,296.0,18100.0,296.0
2019-07-19,296.0,288.0,296.0,290.0,3400.0,290.0
2019-07-22,290.0,290.0,290.0,290.0,1700.0,290.0
2019-07-23,280.0,280.0,280.0,280.0,100.0,280.0
2019-07-24,280.0,280.0,280.0,280.0,0.0,280.0
2019-07-25,298.0,284.0,284.0,296.0,109500.0,296.0
2019-07-26,296.0,296.0,296.0,296.0,0.0,296.0
2019-07-29,300.0,298.0,300.0,298.0,11700.0,298.0
2019-07-30,296.0,260.0,296.0,288.0,101600.0,288.0
2019-07-31,288.0,288.0,288.0,288.0,117400.0,288.0
2019-08-01,288.0,280.0,280.0,288.0,10100.0,288.0
2019-08-02,290.0,270.0,288.0,290.0,300.0,290.0
2019-08-05,290.0,290.0,290.0,290.0,0.0,290.0
2019-08-06,288.0,288.0,288.0,288.0,100.0,288.0
2019-08-07,298.0,272.0,272.0,272.0,56800.0,272.0
2019-08-08,272.0,270.0,270.0,272.0,6500.0,272.0
2019-08-09,272.0,272.0,272.0,272.0,300.0,272.0
2019-08-12,280.0,272.0,272.0,280.0,57000.0,280.0
2019-08-13,280.0,280.0,280.0,280.0,1700.0,280.0
2019-08-14,284.0,284.0,284.0,284.0,600.0,284.0
2019-08-15,284.0,284.0,284.0,284.0,7200.0,284.0
2019-08-16,294.0,258.0,292.0,258.0,1000.0,258.0
2019-08-20,270.0,270.0,270.0,270.0,1700.0,270.0
2019-08-21,270.0,270.0,270.0,270.0,2100.0,270.0
2019-08-22,270.0,270.0,270.0,270.0,0.0,270.0
2019-08-23,290.0,254.0,270.0,270.0,7200.0,270.0
