"ADRO","ADRO.JK","Adaro Energy Tbk."
"AKRA","AKRA.JK","AKR Corporindo Tbk."
"ANTM","ANTM.JK","Aneka Tambang Tbk."
"ASII","ASII.JK","Astra International Tbk."
"BRPT","BRPT.JK","Barito Pacific Tbk."
"BSDE","BSDE.JK","Bumi Serpong Damai Tbk."
"BTPS","BTPS.JK","Bank Tabungan Pensiunan Nasional Syariah Tbk."
"CPIN","CPIN.JK","Charoen Pokphand Indonesia Tbk."
"CTRA","CTRA.JK","Ciputra Development Tbk."
"ERAA","ERAA.JK","Erajaya Swasembada Tbk."
"EXCL","EXCL.JK","XL Axiata Tbk."
"ICBP","ICBP.JK","Indofood CBP Sukses Makmur Tbk."
"INCO","INCO.JK","Vale Indonesia Tbk."
"INDF","INDF.JK","Indofood Sukses Makmur Tbk."
"INDY","INDY.JK","Indika Energy Tbk."
"INTP","INTP.JK","Indocement Tunggal Prakarsa Tbk."
"ITMG","ITMG.JK","Indo Tambangraya Megah Tbk."
"JPFA","JPFA.JK","Japfa Comfeed Indonesia Tbk."
"JSMR","JSMR.JK","Jasa Marga (Persero) Tbk."
"KLBF","KLBF.JK","Kalbe Farma Tbk."
"LPPF","LPPF.JK","Matahari Department Store Tbk."
"PTBA","PTBA.JK","Bukit Asam Tbk."
"PTPP","PTPP.JK","PP (Persero) Tbk."
"SCMA","SCMA.JK","Surya Citra Media Tbk."
"SMGR","SMGR.JK","Semen Indonesia (Persero) Tbk."
"TLKM","TLKM.JK","Telekomunikasi Indonesia (Persero) Tbk."
"UNTR","UNTR.JK","United Tractors Tbk."
"UNVR","UNVR.JK","Unilever Indonesia Tbk."
"WIKA","WIKA.JK","Wijaya Karya (Persero) Tbk."
"WSBP","WSBP.JK","Waskita Beton Precast Tbk."
