Date,High,Low,Open,Close,Volume,Adj Close
2005-09-29,31.5,31.0,31.0,31.0,75000.0,30.268400192260742
2005-09-30,32.5,32.0,32.5,32.5,405000.0,31.732999801635742
2005-10-03,33.0,32.5,33.0,33.0,6500000.0,32.22119903564453
2005-10-04,33.0,32.0,33.0,33.0,1005000.0,32.22119903564453
2005-10-05,33.0,33.0,33.0,33.0,0.0,32.22119903564453
2005-10-06,33.0,33.0,33.0,33.0,0.0,32.22119903564453
2005-10-07,32.5,32.5,32.5,32.5,25000.0,31.732999801635742
2005-10-10,34.0,32.5,34.0,34.0,375000.0,33.197601318359375
2005-10-11,35.0,33.0,33.0,33.0,1785000.0,32.22119903564453
2005-10-12,33.5,33.0,33.0,33.0,2020000.0,32.22119903564453
2005-10-13,33.0,33.0,33.0,33.0,860000.0,32.22119903564453
2005-10-14,33.5,33.0,33.0,33.0,905000.0,32.22119903564453
2005-10-18,34.5,33.0,34.0,34.0,2545000.0,33.197601318359375
2005-10-19,34.0,33.5,34.0,34.0,1655000.0,33.197601318359375
2005-10-21,36.0,33.5,35.0,35.0,11130000.0,34.17399978637695
2005-10-24,35.5,35.0,35.0,35.0,835000.0,34.17399978637695
2005-10-26,35.0,35.0,35.0,35.0,1500000.0,34.17399978637695
2005-10-27,35.0,35.0,35.0,35.0,2760000.0,34.17399978637695
2005-10-28,35.0,35.0,35.0,35.0,3715000.0,34.17399978637695
2005-10-31,35.0,35.0,35.0,35.0,25000.0,34.17399978637695
2005-11-01,34.0,34.0,34.0,34.0,100000.0,33.197601318359375
2005-11-10,33.0,33.0,33.0,33.0,0.0,32.22119903564453
2005-11-11,33.0,33.0,33.0,33.0,0.0,32.22119903564453
2005-11-14,33.0,32.0,33.0,33.0,105000.0,32.22119903564453
2005-11-15,32.0,31.5,32.0,32.0,400000.0,31.244800567626953
2005-11-16,32.0,32.0,32.0,32.0,0.0,31.244800567626953
2005-11-17,30.0,30.0,30.0,30.0,10000.0,29.29199981689453
2005-11-18,31.0,29.5,29.5,29.5,13470000.0,28.803800582885742
2005-11-21,29.5,29.5,29.5,29.5,400000.0,28.803800582885742
2005-11-22,30.0,29.5,29.5,29.5,1750000.0,28.803800582885742
2005-11-23,29.5,29.5,29.5,29.5,15000.0,28.803800582885742
2005-11-24,30.0,29.5,30.0,30.0,1600000.0,29.29199981689453
2005-11-25,29.5,29.5,29.5,29.5,900000.0,28.803800582885742
2005-11-28,30.0,28.5,29.5,29.5,275000.0,28.803800582885742
2005-11-29,29.5,29.5,29.5,29.5,1000000.0,28.803800582885742
2005-11-30,29.0,29.0,29.0,29.0,100000.0,28.315601348876953
2005-12-01,29.0,29.0,29.0,29.0,2015000.0,28.315601348876953
2005-12-02,29.0,29.0,29.0,29.0,0.0,28.315601348876953
2005-12-05,30.0,29.0,29.5,29.5,1185000.0,28.803800582885742
2005-12-06,29.5,29.5,29.5,29.5,100000.0,28.803800582885742
2005-12-07,30.5,29.0,30.0,30.0,2345000.0,29.29199981689453
2005-12-08,30.5,30.0,30.5,30.5,3595000.0,29.780200958251953
2005-12-09,31.5,30.0,30.5,30.5,3450000.0,29.780200958251953
2005-12-12,32.5,31.0,31.5,31.5,3275000.0,30.756601333618164
2005-12-13,32.0,31.5,31.5,31.5,1185000.0,30.756601333618164
2005-12-14,31.5,30.5,30.5,30.5,4775000.0,29.780200958251953
2005-12-15,31.0,30.0,30.0,30.0,1725000.0,29.29199981689453
2005-12-16,30.0,30.0,30.0,30.0,65000.0,29.29199981689453
2005-12-19,30.0,30.0,30.0,30.0,2975000.0,29.29199981689453
2005-12-20,32.0,30.5,31.5,31.5,6730000.0,30.756601333618164
2005-12-21,30.5,30.5,30.5,30.5,200000.0,29.780200958251953
2005-12-22,31.5,31.5,31.5,31.5,450000.0,30.756601333618164
2005-12-23,31.0,31.0,31.0,31.0,600000.0,30.268400192260742
2005-12-27,32.5,32.0,32.0,32.0,1340000.0,31.244800567626953
2005-12-28,32.0,32.0,32.0,32.0,755000.0,31.244800567626953
2005-12-29,33.5,31.5,31.5,31.5,2340000.0,30.756601333618164
2006-01-02,31.5,31.5,31.5,31.5,0.0,30.756601333618164
2006-01-03,31.5,31.5,31.5,31.5,200000.0,30.756601333618164
2006-01-04,31.5,31.5,31.5,31.5,0.0,30.756601333618164
2006-01-05,33.0,32.0,32.5,32.5,625000.0,31.732999801635742
2006-01-06,34.5,32.5,34.5,34.5,590000.0,33.6858024597168
2006-01-09,37.5,33.5,35.0,35.0,36845000.0,34.17399978637695
2006-01-11,37.0,35.0,36.5,36.5,20810000.0,35.63859939575195
2006-01-12,36.5,36.0,36.0,36.0,2795000.0,35.1504020690918
2006-01-13,38.0,36.5,37.0,37.0,7995000.0,36.126800537109375
