Date,High,Low,Open,Close,Volume,Adj Close
2019-06-05,3900,3900,3900,3900,0,3794.045166015625
2019-06-06,3900,3900,3900,3900,0,3794.045166015625
2019-06-07,3900,3900,3900,3900,0,3794.045166015625
2019-06-10,4060,3970,4000,4040,222522800,3930.24169921875
2019-06-11,4060,4000,4010,4020,88861700,3910.784912109375
2019-06-12,3950,3840,3880,3940,134724400,3940.0
2019-06-13,3990,3900,3940,3990,115734700,3990.0
2019-06-14,4050,3970,4020,3990,92466800,3990.0
2019-06-17,3970,3900,3950,3900,60851700,3900.0
2019-06-18,3990,3890,3890,3980,66112800,3980.0
2019-06-19,4120,4020,4020,4100,100210400,4100.0
2019-06-20,4110,4020,4110,4040,57673700,4040.0
2019-06-21,4040,3950,4010,4040,154049700,4040.0
2019-06-24,4050,3970,4050,3980,50525100,3980.0
2019-06-25,4040,4000,4040,4010,42601100,4010.0
2019-06-26,4050,3980,4020,3980,56092200,3980.0
2019-06-27,4120,4000,4010,4090,94221200,4090.0
2019-06-28,4200,4090,4100,4140,130153100,4140.0
2019-07-01,4240,4170,4200,4220,79382300,4220.0
2019-07-02,4250,4180,4240,4250,87999800,4250.0
2019-07-03,4240,4160,4160,4240,63296200,4240.0
2019-07-04,4260,4190,4190,4250,38459300,4250.0
2019-07-05,4280,4240,4260,4280,50332800,4280.0
2019-07-08,4290,4210,4230,4270,57903400,4270.0
2019-07-09,4370,4270,4300,4350,124822400,4350.0
2019-07-10,4320,4260,4310,4290,62529900,4290.0
2019-07-11,4280,4240,4250,4270,25645900,4270.0
2019-07-12,4250,4170,4240,4180,57088600,4180.0
2019-07-15,4290,4230,4250,4280,66960500,4280.0
2019-07-16,4280,4210,4240,4240,45461500,4240.0
2019-07-17,4260,4220,4250,4230,32069800,4230.0
2019-07-18,4250,4210,4220,4240,45408100,4240.0
2019-07-19,4280,4250,4260,4270,60692800,4270.0
2019-07-22,4270,4230,4250,4260,37513700,4260.0
2019-07-23,4270,4200,4260,4250,62628100,4250.0
2019-07-24,4240,4160,4230,4190,73904300,4190.0
2019-07-25,4240,4160,4160,4210,49276300,4210.0
2019-07-26,4210,4110,4160,4160,70952400,4160.0
2019-07-29,4240,4140,4150,4200,54336900,4200.0
2019-07-30,4300,4260,4280,4270,88417200,4270.0
2019-07-31,4300,4210,4240,4300,175741000,4300.0
2019-08-01,4300,4260,4300,4280,94856600,4280.0
2019-08-02,4300,4250,4280,4280,82253800,4280.0
2019-08-05,4220,4060,4200,4080,112253200,4080.0
2019-08-06,4190,4050,4060,4130,108890100,4130.0
2019-08-07,4270,4170,4230,4210,104785500,4210.0
2019-08-08,4290,4240,4270,4260,95204000,4260.0
2019-08-09,4300,4240,4300,4260,89600500,4260.0
2019-08-12,4320,4230,4300,4260,41817800,4260.0
2019-08-13,4290,4230,4290,4250,98757900,4250.0
2019-08-14,4300,4270,4300,4290,84928200,4290.0
2019-08-15,4290,4200,4200,4290,97255500,4290.0
2019-08-16,4310,4220,4300,4280,51853900,4280.0
2019-08-19,4340,4290,4340,4340,86011300,4340.0
2019-08-20,4470,4340,4350,4470,143171600,4470.0
2019-08-21,4500,4390,4460,4410,99649300,4410.0
2019-08-22,4450,4320,4380,4450,110968600,4450.0
2019-08-23,4450,4340,4390,4380,83823900,4380.0
