Date,High,Low,Open,Close,Volume,Adj Close
2019-06-05,398.0,398.0,398.0,398.0,0.0,398.0
2019-06-06,398.0,398.0,398.0,398.0,0.0,398.0
2019-06-07,398.0,398.0,398.0,398.0,0.0,398.0
2019-06-10,404.0,400.0,402.0,402.0,29708000.0,402.0
2019-06-11,404.0,398.0,402.0,402.0,15926000.0,402.0
2019-06-12,404.0,398.0,402.0,398.0,19726700.0,398.0
2019-06-13,402.0,394.0,396.0,402.0,21452400.0,402.0
2019-06-14,406.0,398.0,400.0,398.0,18860200.0,398.0
2019-06-17,402.0,392.0,400.0,392.0,10256500.0,392.0
2019-06-18,394.0,388.0,392.0,394.0,16944400.0,394.0
2019-06-19,402.0,396.0,396.0,400.0,25497200.0,400.0
2019-06-20,412.0,402.0,402.0,410.0,101204900.0,410.0
2019-06-21,416.0,406.0,412.0,406.0,30511400.0,406.0
2019-06-24,412.0,402.0,406.0,402.0,19128400.0,402.0
2019-06-25,406.0,400.0,402.0,400.0,22333400.0,400.0
2019-06-26,404.0,392.0,400.0,396.0,35281500.0,396.0
2019-06-27,408.0,396.0,396.0,402.0,51331900.0,402.0
2019-06-28,410.0,400.0,406.0,400.0,32926900.0,400.0
2019-07-01,406.0,398.0,404.0,400.0,35609300.0,400.0
2019-07-02,404.0,396.0,402.0,398.0,27658400.0,398.0
2019-07-03,402.0,394.0,400.0,396.0,23671100.0,396.0
2019-07-04,400.0,394.0,396.0,396.0,27979700.0,396.0
2019-07-05,400.0,396.0,398.0,396.0,29509300.0,396.0
2019-07-08,400.0,394.0,394.0,400.0,23105000.0,400.0
2019-07-09,416.0,402.0,402.0,414.0,114050200.0,414.0
2019-07-10,422.0,416.0,416.0,420.0,94549500.0,420.0
2019-07-11,424.0,416.0,422.0,418.0,48491000.0,418.0
2019-07-12,422.0,414.0,420.0,416.0,27799900.0,416.0
2019-07-15,432.0,418.0,418.0,428.0,105161400.0,428.0
2019-07-16,430.0,422.0,430.0,426.0,33143600.0,426.0
2019-07-17,426.0,418.0,424.0,424.0,37553300.0,424.0
2019-07-18,422.0,418.0,422.0,420.0,25136500.0,420.0
2019-07-19,426.0,416.0,420.0,416.0,37531400.0,416.0
2019-07-22,418.0,402.0,416.0,406.0,58236000.0,406.0
2019-07-23,410.0,402.0,408.0,402.0,38656900.0,402.0
2019-07-24,410.0,400.0,406.0,400.0,40548500.0,400.0
2019-07-25,404.0,382.0,400.0,386.0,112425600.0,386.0
2019-07-26,388.0,370.0,386.0,372.0,123218200.0,372.0
2019-07-29,382.0,370.0,372.0,372.0,62407300.0,372.0
2019-07-30,386.0,376.0,376.0,380.0,51857100.0,380.0
2019-07-31,382.0,364.0,380.0,364.0,223462100.0,364.0
2019-08-01,372.0,344.0,344.0,368.0,52369000.0,368.0
2019-08-02,370.0,360.0,370.0,364.0,41854600.0,364.0
2019-08-05,368.0,352.0,364.0,352.0,52398400.0,352.0
2019-08-06,356.0,342.0,356.0,350.0,68158100.0,350.0
2019-08-07,358.0,350.0,352.0,350.0,44014900.0,350.0
2019-08-08,356.0,350.0,354.0,352.0,43969900.0,352.0
2019-08-09,358.0,350.0,354.0,350.0,45996800.0,350.0
2019-08-12,354.0,350.0,350.0,350.0,46433500.0,350.0
2019-08-13,352.0,344.0,350.0,344.0,25214700.0,344.0
2019-08-14,356.0,346.0,346.0,354.0,59594800.0,354.0
2019-08-15,350.0,342.0,350.0,348.0,57570700.0,348.0
2019-08-16,352.0,346.0,352.0,348.0,30705600.0,348.0
2019-08-20,358.0,350.0,354.0,352.0,49426900.0,352.0
2019-08-21,356.0,346.0,352.0,348.0,32224500.0,348.0
2019-08-22,352.0,344.0,352.0,346.0,25569800.0,346.0
2019-08-23,350.0,344.0,346.0,344.0,20201300.0,344.0
