Date,High,Low,Open,Close,Volume,Adj Close
2019-06-05,250.0,250.0,250.0,250.0,0.0,250.0
2019-06-06,250.0,250.0,250.0,250.0,0.0,250.0
2019-06-07,250.0,250.0,250.0,250.0,0.0,250.0
2019-06-10,278.0,250.0,250.0,268.0,66417400.0,268.0
2019-06-11,274.0,264.0,270.0,268.0,23686500.0,268.0
2019-06-12,272.0,262.0,270.0,262.0,11466300.0,262.0
2019-06-13,268.0,258.0,260.0,268.0,23985400.0,268.0
2019-06-14,274.0,264.0,270.0,270.0,8357500.0,270.0
2019-06-17,278.0,252.0,278.0,258.0,67011100.0,258.0
2019-06-18,292.0,256.0,262.0,272.0,53520300.0,272.0
2019-06-19,280.0,264.0,280.0,268.0,38289200.0,268.0
2019-06-20,274.0,266.0,268.0,270.0,29743700.0,270.0
2019-06-21,270.0,250.0,262.0,264.0,15679200.0,264.0
2019-06-24,270.0,258.0,264.0,264.0,27902600.0,264.0
2019-06-25,268.0,264.0,264.0,266.0,36022400.0,266.0
2019-06-26,270.0,262.0,266.0,266.0,16929700.0,266.0
2019-06-27,282.0,266.0,268.0,272.0,103209500.0,272.0
2019-06-28,278.0,272.0,274.0,276.0,33326600.0,276.0
2019-07-01,286.0,274.0,276.0,278.0,76928000.0,278.0
2019-07-02,300.0,276.0,280.0,298.0,55045300.0,298.0
2019-07-03,300.0,284.0,298.0,292.0,62798900.0,292.0
2019-07-04,298.0,282.0,294.0,282.0,64235500.0,282.0
2019-07-05,292.0,278.0,282.0,280.0,53811300.0,280.0
2019-07-08,286.0,264.0,282.0,276.0,72078500.0,276.0
2019-07-09,290.0,272.0,276.0,284.0,52395700.0,284.0
2019-07-10,288.0,278.0,286.0,280.0,45405300.0,280.0
2019-07-11,288.0,280.0,280.0,282.0,39454700.0,282.0
2019-07-12,288.0,280.0,284.0,280.0,32282200.0,280.0
2019-07-15,288.0,280.0,280.0,286.0,34411700.0,286.0
2019-07-16,292.0,282.0,290.0,282.0,35112500.0,282.0
2019-07-17,286.0,276.0,284.0,276.0,43371400.0,276.0
2019-07-18,286.0,274.0,276.0,280.0,46716100.0,280.0
2019-07-19,286.0,280.0,280.0,284.0,37019700.0,284.0
2019-07-22,286.0,280.0,284.0,280.0,31185400.0,280.0
2019-07-23,284.0,276.0,280.0,276.0,23799600.0,276.0
2019-07-24,290.0,276.0,276.0,286.0,43103700.0,286.0
2019-07-25,308.0,286.0,288.0,306.0,100219400.0,306.0
2019-07-26,328.0,298.0,310.0,304.0,107913600.0,304.0
2019-07-29,312.0,294.0,304.0,296.0,59111400.0,296.0
2019-07-30,310.0,292.0,296.0,302.0,94090100.0,302.0
2019-07-31,306.0,300.0,300.0,304.0,74513300.0,304.0
2019-08-01,324.0,304.0,304.0,310.0,119508400.0,310.0
2019-08-02,310.0,300.0,310.0,304.0,21245600.0,304.0
2019-08-05,312.0,278.0,304.0,294.0,96912400.0,294.0
2019-08-06,310.0,266.0,292.0,310.0,84480600.0,310.0
2019-08-07,318.0,300.0,314.0,304.0,91545700.0,304.0
2019-08-08,316.0,302.0,304.0,314.0,37454900.0,314.0
2019-08-09,320.0,314.0,318.0,314.0,35876500.0,314.0
2019-08-12,320.0,308.0,314.0,314.0,15063500.0,314.0
2019-08-13,314.0,302.0,310.0,304.0,30328800.0,304.0
2019-08-14,318.0,304.0,308.0,308.0,34954200.0,308.0
2019-08-15,306.0,298.0,300.0,306.0,48063300.0,306.0
2019-08-16,316.0,304.0,308.0,316.0,30508700.0,316.0
2019-08-20,314.0,308.0,310.0,310.0,8461700.0,310.0
2019-08-21,314.0,306.0,310.0,308.0,13576400.0,308.0
2019-08-22,312.0,302.0,308.0,310.0,19017300.0,310.0
2019-08-23,312.0,302.0,308.0,306.0,45450000.0,306.0
