Date,High,Low,Open,Close,Volume,Adj Close
2002-04-22,79.0,76.0,79.0,76.0,0.0,38.32471466064453
2002-04-23,81.0,79.0,79.0,81.0,6022500.0,40.846073150634766
2002-04-24,85.0,83.0,83.0,84.0,4500000.0,42.358890533447266
2002-04-25,87.0,85.0,86.0,86.0,1762500.0,43.367435455322266
2002-04-26,84.0,79.0,84.0,81.0,26515000.0,40.846073150634766
2002-04-29,79.0,77.0,79.0,77.0,2400000.0,38.828983306884766
2002-04-30,81.0,78.0,78.0,78.0,6500000.0,39.333251953125
2002-05-01,78.0,77.0,78.0,77.0,1207500.0,38.828983306884766
2002-05-02,77.0,77.0,77.0,77.0,750000.0,38.828983306884766
2002-05-03,79.0,77.0,78.0,77.0,4452500.0,38.828983306884766
2002-05-06,78.0,76.0,77.0,77.0,1740000.0,38.828983306884766
2002-05-07,78.0,76.0,77.0,76.0,1675000.0,38.32471466064453
2002-05-08,80.0,76.0,76.0,78.0,12622500.0,39.333251953125
2002-05-10,79.0,77.0,78.0,77.0,1532500.0,38.828983306884766
2002-05-13,77.0,76.0,77.0,76.0,950000.0,38.32471466064453
2002-05-14,76.0,75.0,76.0,75.0,1090000.0,37.8204345703125
2002-05-15,76.0,75.0,75.0,76.0,305000.0,38.32471466064453
2002-05-16,75.0,74.0,75.0,75.0,410000.0,37.8204345703125
2002-05-17,75.0,75.0,75.0,75.0,525000.0,37.8204345703125
2002-05-20,75.0,73.0,75.0,73.0,590000.0,36.811893463134766
2002-05-21,74.0,73.0,73.0,73.0,172500.0,36.811893463134766
2002-05-22,74.0,70.0,73.0,70.0,1562500.0,35.299076080322266
2002-05-23,69.0,66.0,68.0,68.0,740000.0,34.290531158447266
2002-05-24,70.0,69.0,69.0,70.0,977500.0,35.299076080322266
2002-05-27,71.0,70.0,71.0,70.0,375000.0,35.299076080322266
2002-05-28,70.0,70.0,70.0,70.0,537500.0,35.299076080322266
2002-05-29,70.0,70.0,70.0,70.0,22500.0,35.299076080322266
2002-05-30,74.0,71.0,74.0,71.0,250000.0,35.803348541259766
2002-05-31,76.0,73.0,73.0,73.0,10885000.0,36.811893463134766
2002-06-03,75.0,74.0,75.0,74.0,2270000.0,37.316162109375
2002-06-04,72.0,69.0,72.0,69.0,5637500.0,34.794803619384766
2002-06-05,70.0,66.0,69.0,67.0,8027500.0,33.786258697509766
2002-06-06,67.0,64.0,67.0,64.0,5877500.0,32.27344512939453
2002-06-07,64.0,63.0,64.0,64.0,6437500.0,32.27344512939453
2002-06-10,64.0,61.0,64.0,62.0,7060000.0,31.264894485473633
2002-06-11,62.0,62.0,62.0,62.0,125000.0,31.264894485473633
2002-06-12,66.0,63.0,63.0,66.0,58147500.0,33.281986236572266
2002-06-13,75.0,67.0,67.0,75.0,25687500.0,37.8204345703125
2002-06-14,79.0,72.0,75.0,75.0,96202500.0,37.8204345703125
2002-06-17,76.0,73.0,75.0,73.0,5655000.0,36.811893463134766
2002-06-18,73.0,70.0,73.0,70.0,7907500.0,35.299076080322266
2002-06-19,70.0,69.0,70.0,69.0,1130000.0,34.794803619384766
2002-06-20,72.0,71.0,72.0,71.0,1755000.0,35.803348541259766
2002-06-21,71.0,70.0,71.0,70.0,775000.0,35.299076080322266
2002-06-24,68.0,68.0,68.0,68.0,160000.0,34.290531158447266
2002-06-25,68.0,68.0,68.0,68.0,905000.0,34.290531158447266
2002-06-26,67.0,66.0,67.0,66.0,1055000.0,33.281986236572266
2002-06-27,71.0,68.0,69.0,69.0,4860000.0,34.794803619384766
2002-06-28,69.0,67.0,69.0,68.0,1632500.0,34.290531158447266
2002-07-01,66.0,65.0,66.0,65.0,650000.0,32.777713775634766
2002-07-02,63.0,60.0,62.0,63.0,26825000.0,31.769166946411133
2002-07-03,65.0,62.0,62.0,65.0,13415000.0,32.777713775634766
2002-07-04,66.0,65.0,65.0,65.0,9422500.0,32.777713775634766
2002-07-05,67.0,66.0,66.0,67.0,7310000.0,33.786258697509766
2002-07-08,68.0,65.0,67.0,66.0,5315000.0,33.281986236572266
2002-07-09,68.0,66.0,66.0,67.0,6277500.0,33.786258697509766
2002-07-10,70.0,66.0,66.0,70.0,5620000.0,35.299076080322266
2002-07-11,71.0,69.0,69.0,70.0,11627500.0,35.299076080322266
2002-07-12,73.0,71.0,71.0,72.0,6710000.0,36.30762481689453
2002-07-15,73.0,72.0,72.0,72.0,1732500.0,36.30762481689453
2002-07-16,78.0,72.0,72.0,78.0,26772500.0,39.333251953125
2002-07-17,78.0,76.0,76.0,77.0,16985000.0,38.828983306884766
2002-07-18,77.0,74.0,76.0,76.0,5025000.0,38.32471466064453
2002-07-19,79.0,75.0,75.0,79.0,38382500.0,39.8375244140625
2002-07-22,76.0,74.0,75.0,74.0,2030000.0,37.316162109375
2002-07-23,76.0,74.0,75.0,74.0,2930000.0,37.316162109375
