Date,High,Low,Open,Close,Volume,Adj Close
2014-04-08,885.0,695.0,770.0,760.0,700977000.0,760.0
2014-04-09,760.0,760.0,760.0,760.0,0.0,760.0
2014-04-10,780.0,665.0,780.0,720.0,241655500.0,720.0
2014-04-11,755.0,700.0,700.0,750.0,126302800.0,750.0
2014-04-14,780.0,745.0,760.0,765.0,67189600.0,765.0
2014-04-15,780.0,745.0,780.0,750.0,50083500.0,750.0
2014-04-16,765.0,730.0,750.0,735.0,41805100.0,735.0
2014-04-17,755.0,735.0,740.0,745.0,26192800.0,745.0
2014-04-21,750.0,730.0,750.0,730.0,22422800.0,730.0
2014-04-22,740.0,720.0,730.0,730.0,29738900.0,730.0
2014-04-23,735.0,720.0,730.0,720.0,42023600.0,720.0
2014-04-24,740.0,720.0,720.0,735.0,29629400.0,735.0
2014-04-25,770.0,735.0,735.0,765.0,69270700.0,765.0
2014-04-28,775.0,730.0,765.0,735.0,29012900.0,735.0
2014-04-29,750.0,730.0,740.0,740.0,20836700.0,740.0
2014-04-30,745.0,730.0,745.0,735.0,13111700.0,735.0
2014-05-02,740.0,730.0,735.0,730.0,7086600.0,730.0
2014-05-05,745.0,725.0,730.0,740.0,27141600.0,740.0
2014-05-06,745.0,725.0,740.0,730.0,12329000.0,730.0
2014-05-07,750.0,730.0,730.0,750.0,27762600.0,750.0
2014-05-08,760.0,745.0,755.0,745.0,20690000.0,745.0
2014-05-09,760.0,745.0,750.0,750.0,17901200.0,750.0
2014-05-12,770.0,750.0,750.0,760.0,37915700.0,760.0
2014-05-13,770.0,755.0,765.0,765.0,11310100.0,765.0
2014-05-14,800.0,765.0,765.0,795.0,66170800.0,795.0
2014-05-16,810.0,785.0,795.0,785.0,39555700.0,785.0
2014-05-19,805.0,765.0,775.0,775.0,58139600.0,775.0
2014-05-20,785.0,745.0,755.0,755.0,19367500.0,755.0
2014-05-21,780.0,750.0,780.0,780.0,16999800.0,780.0
2014-05-22,785.0,775.0,780.0,780.0,17457200.0,780.0
2014-05-23,785.0,770.0,775.0,775.0,13269400.0,775.0
2014-05-26,775.0,765.0,770.0,770.0,12640300.0,770.0
2014-05-28,790.0,765.0,790.0,790.0,12150400.0,790.0
2014-05-30,795.0,770.0,780.0,780.0,10467900.0,780.0
2014-06-02,780.0,760.0,765.0,765.0,15487100.0,765.0
2014-06-03,780.0,765.0,765.0,765.0,13817300.0,765.0
2014-06-04,775.0,760.0,760.0,760.0,17587400.0,760.0
2014-06-05,765.0,760.0,765.0,760.0,2442500.0,760.0
2014-06-06,770.0,760.0,760.0,760.0,10032600.0,760.0
2014-06-09,770.0,750.0,755.0,755.0,26963000.0,755.0
2014-06-10,770.0,755.0,765.0,765.0,5037600.0,765.0
2014-06-11,775.0,760.0,765.0,765.0,18252300.0,765.0
2014-06-12,770.0,760.0,765.0,765.0,2388600.0,765.0
2014-06-13,765.0,745.0,750.0,750.0,10786300.0,750.0
2014-06-16,750.0,735.0,740.0,740.0,6214900.0,740.0
2014-06-17,765.0,735.0,760.0,760.0,20769900.0,760.0
2014-06-18,760.0,750.0,750.0,750.0,3243000.0,750.0
2014-06-19,755.0,725.0,735.0,735.0,17965000.0,735.0
2014-06-20,745.0,730.0,730.0,730.0,8511000.0,730.0
2014-06-23,740.0,730.0,730.0,730.0,5993100.0,730.0
2014-06-24,745.0,725.0,740.0,740.0,28380400.0,740.0
2014-06-25,740.0,725.0,725.0,725.0,9852800.0,725.0
2014-06-26,750.0,725.0,750.0,750.0,11814000.0,750.0
2014-06-27,750.0,735.0,750.0,750.0,6394000.0,750.0
2014-06-30,750.0,740.0,750.0,750.0,3553000.0,750.0
2014-07-01,750.0,740.0,740.0,740.0,1135300.0,740.0
2014-07-02,750.0,735.0,740.0,740.0,2082300.0,740.0
2014-07-03,760.0,740.0,750.0,750.0,8566700.0,750.0
2014-07-04,760.0,745.0,760.0,760.0,8967100.0,760.0
2014-07-07,805.0,760.0,800.0,800.0,53051100.0,800.0
2014-07-08,810.0,775.0,800.0,800.0,43688800.0,800.0
2014-07-09,800.0,800.0,800.0,800.0,0.0,800.0
2014-07-10,830.0,795.0,830.0,830.0,98300100.0,830.0
2014-07-11,825.0,800.0,805.0,805.0,14544500.0,805.0
2014-07-14,810.0,795.0,800.0,800.0,4828700.0,800.0
2014-07-15,820.0,800.0,815.0,815.0,12483600.0,815.0
2014-07-16,840.0,810.0,820.0,820.0,22473600.0,820.0
2014-07-17,825.0,810.0,820.0,820.0,14890800.0,820.0
2014-07-18,825.0,800.0,820.0,820.0,15001800.0,820.0
2014-07-21,885.0,830.0,880.0,880.0,65457900.0,880.0
2014-07-22,890.0,840.0,865.0,865.0,45890700.0,865.0
2014-07-23,910.0,880.0,895.0,895.0,82813900.0,895.0
2014-07-24,905.0,885.0,890.0,890.0,30237400.0,890.0
2014-07-25,900.0,870.0,890.0,890.0,12994600.0,890.0
2014-08-04,895.0,870.0,880.0,880.0,8869900.0,880.0
2014-08-05,895.0,875.0,895.0,895.0,22268600.0,895.0
2014-08-06,895.0,880.0,880.0,880.0,5558400.0,880.0
2014-08-07,890.0,880.0,885.0,885.0,6172900.0,885.0
2014-08-08,895.0,880.0,890.0,890.0,7233500.0,890.0
2014-08-11,935.0,890.0,935.0,935.0,22989200.0,935.0
2014-08-12,975.0,935.0,950.0,950.0,49827600.0,950.0
2014-08-13,960.0,945.0,950.0,950.0,12460000.0,950.0
2014-08-14,955.0,940.0,945.0,945.0,7769400.0,945.0
2014-08-15,965.0,900.0,955.0,955.0,13201600.0,955.0
2014-08-18,1005.0,960.0,995.0,995.0,33821900.0,995.0
2014-08-19,1020.0,1000.0,1010.0,1010.0,29359800.0,1010.0
2014-08-20,1020.0,1000.0,1005.0,1005.0,11136200.0,1005.0
2014-08-21,1045.0,990.0,1030.0,1030.0,39190400.0,1030.0
2014-08-22,1050.0,1025.0,1030.0,1030.0,21105900.0,1030.0
2014-08-25,1055.0,1015.0,1055.0,1055.0,10627200.0,1055.0
2014-08-26,1055.0,1015.0,1020.0,1020.0,31843700.0,1020.0
2014-08-27,1030.0,1015.0,1020.0,1020.0,10346200.0,1020.0
2014-08-28,1035.0,1005.0,1005.0,1005.0,9501600.0,1005.0
2014-08-29,1030.0,1005.0,1030.0,1030.0,9532100.0,1030.0
2014-09-01,1035.0,1020.0,1025.0,1025.0,3456300.0,1025.0
2014-09-02,1035.0,1020.0,1030.0,1030.0,3573500.0,1030.0
2014-09-03,1080.0,1010.0,1075.0,1075.0,25818000.0,1075.0
2014-09-04,1095.0,1070.0,1075.0,1075.0,23214200.0,1075.0
2014-09-05,1165.0,1075.0,1155.0,1155.0,66217400.0,1155.0
2014-09-08,1240.0,1115.0,1170.0,1170.0,86463000.0,1170.0
2014-09-09,1175.0,1155.0,1170.0,1170.0,22830300.0,1170.0
2014-09-10,1180.0,1145.0,1165.0,1165.0,59920100.0,1165.0
2014-09-11,1210.0,1165.0,1175.0,1175.0,61882600.0,1175.0
2014-09-12,1190.0,1165.0,1165.0,1165.0,16003500.0,1165.0
2014-09-15,1175.0,1120.0,1175.0,1175.0,9535700.0,1175.0
2014-09-16,1180.0,1150.0,1150.0,1150.0,11651400.0,1150.0
2014-09-17,1200.0,1150.0,1155.0,1155.0,22685500.0,1155.0
2014-09-18,1190.0,1155.0,1175.0,1175.0,16698700.0,1175.0
2014-09-19,1210.0,1175.0,1200.0,1200.0,47476000.0,1200.0
2014-09-22,1230.0,1195.0,1205.0,1205.0,15079900.0,1205.0
2014-09-23,1205.0,1180.0,1185.0,1185.0,16654200.0,1185.0
2014-09-24,1200.0,1180.0,1185.0,1185.0,5283600.0,1185.0
2014-09-25,1200.0,1180.0,1185.0,1185.0,8878000.0,1185.0
