,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AMCR,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,ADI,ANSS,ANTM,AON,AOS,APA,AIV,AAPL,AMAT,APTV,ADM,ARNC,ANET,AJG,AIZ,ATO,T,ADSK,ADP,AZO,AVB,AVY,BHGE,BLL,BAC,BK,BAX,BBT,BDX
MMM,1.0,0.926822825801821,0.9263432448562101,0.81964823108011,0.9629817439961674,0.9460947370111403,0.8750211138078303,-0.12395485254384872,0.8745555206295452,-0.19724584235455275,0.7686473854653756,0.9556889210670229,0.8372356852351956,0.9560512906771107,0.3895134668418912,0.9373335980820591,0.9267032040451956,0.9096624484819817,0.8287892135320603,0.8632847773344284,0.8170027554796172,0.8262402989574693,0.8557013053934404,0.9702083787366439,0.9441108929327352,0.9683477674651108,0.9666308202605475,0.9705037100897466,0.8959241975636945,0.866090148347195,0.9165895453421852,0.656982191710077,0.9585353599487727,0.9051329892441192,-0.6340764355963703,0.927307001045398,0.9381804178578311,0.9632126764926999,0.9368852555572748,0.9543584425402739,0.956500972023448,0.9798064717505337,0.8696035799421185,0.9378433839199288,0.9250632500951808,0.956850699084843,0.9833843902000374,-0.007393013836835811,0.8370504443615431,0.9564710032976886,0.7492035237864548,0.9362267518756268,0.864730962026914,-0.5708321817459818,0.8321616478401899,0.9450363677725251,0.9299329489345247,0.9691435198838606,0.8793999533658519,0.8998651698314308,0.9364655550296425,0.9237979815926414,0.9294805065195715,0.8781488455045559,0.28569741471508137,0.9399355979577647,0.03245088043131149,0.781648780080171,0.939668533944444,0.9355134355832803,0.970733634128668
ABT,0.926822825801821,1.0,0.8050930210135402,0.8756249634831816,0.9758784697362326,0.8919313311409669,0.9479900603719457,-0.028651908368156745,0.8502216619415356,-0.10405695317418609,0.6556647537924792,0.967843152938007,0.8537116203900074,0.9702771699918117,0.4084509735281154,0.8511869405810328,0.8358869044733559,0.9034901730523333,0.790528417254305,0.9041718789978067,0.888253210791554,0.7368655651070504,0.7661019627387341,0.9627448096170577,0.9187578263790586,0.952279474819761,0.9544028023933704,0.8862459711374973,0.9510710778322699,0.6556058043585347,0.9342219801882308,0.5121408177644421,0.9685284617525552,0.9339777834440977,-0.6159578206560418,0.9722488535790987,0.950238937704221,0.9073846396569177,0.8835756774254576,0.9648701091297981,0.9353331067898122,0.969825757444419,0.9015683365205311,0.9735974523945967,0.9634658383538884,0.9801454630565399,0.9160565958059692,-0.04682692062302431,0.8205915451957676,0.9682324855647724,0.7227845974282026,0.8370687882751283,0.8227214545784153,-0.5702619511930892,0.8900263409216447,0.9832677947686946,0.8959060844442608,0.9641854825350653,0.835010979286778,0.9401932001728892,0.9810267380392825,0.9294661145625752,0.9045385858440204,0.8643842089780283,0.19122175383919343,0.9658716249773824,0.015340729851158306,0.7606204570660408,0.9745562076879254,0.9110142422940698,0.9684837664289876
ABBV,0.9263432448562101,0.8050930210135402,1.0,0.8898606735660878,0.8807669396867538,0.9050994404435984,0.8666268277335408,0.6874041612373868,0.2515232182758251,0.40498231583629424,-0.24649925356414035,0.8657008964868848,0.900821933168073,0.8121758975068722,0.5850058004086015,0.5109942961561793,0.7226862955167066,0.8608405282510201,-0.15638046452377216,0.9006235533601311,0.7858377830564095,-0.07591356033484299,-0.05747519791731117,0.8324811279158523,0.9162009111882157,0.9024154884110578,0.9038689344596437,0.6990458264040811,0.8674739103312774,0.6891090753516825,0.81914697691808,0.5593656881074344,0.7966174956579877,0.7009944085422479,0.4184599416805571,0.7877872555643295,0.8028579684640275,0.8655689822170556,0.557167300086517,0.8600152473774185,0.8885120155938745,0.9244266117270785,0.8616953823026338,0.8528153084164757,0.8850133147836776,0.8465300071649278,0.8944861926918684,-0.7158773982549175,0.7553028525424867,0.899681679327836,0.8935818024728674,0.9185853904108096,0.6393480422918058,-0.016369466246069674,0.9042741321203442,0.8316095426448349,0.8103512210941392,0.8351270790172391,0.5384759507084856,0.8590784117165292,0.8361087217196838,0.5409907327281496,0.7058079361405666,0.9213746064180052,-0.3259099223965647,0.6652947366084366,0.9157362727412548,0.9305380343958902,0.8745880418683845,0.922832638730492,0.912361926727416
ABMD,0.81964823108011,0.8756249634831816,0.8898606735660878,1.0,0.8864553131237353,0.8966438761256259,0.9587181634940435,0.2014863947793228,0.6613761387652921,0.0145938602356003,0.38404566846866817,0.8581105745716959,0.8281190805722879,0.8184264945729811,0.38499965698604816,0.7094865753744769,0.7093469538877475,0.8010004388994477,0.5228727236671595,0.9687061705904108,0.8167819821669619,0.5147857827861093,0.5325281949910564,0.8332321483258315,0.8442568985534729,0.8919174773611213,0.8952744496449654,0.7450644471397605,0.9612150035968283,0.5997632005801252,0.8691989012808731,0.4667839140108808,0.8314890913956482,0.7778596543495708,-0.3776426784357027,0.8412537809193422,0.8598215555079133,0.7718177680558357,0.6860099284655321,0.7931924668047196,0.8425366414004009,0.8592896391158136,0.8842702108979442,0.8539624906423176,0.9270735004894445,0.8659122405254858,0.848014197082719,-0.2467261696961778,0.7442314247961603,0.8609578540204472,0.8108131751952479,0.8065137036854879,0.6256174366773349,-0.4049332004617754,0.9010261959544223,0.8751509693305798,0.8288373344580305,0.8710541961880668,0.6597871569652956,0.8971821118237557,0.9061097957213886,0.7341848246590161,0.709845533730446,0.9018899018077549,0.026545148222986203,0.780021642905941,0.1681630679002343,0.7926246045349259,0.8862412545473698,0.8472106233842218,0.8881992671499541
ACN,0.9629817439961674,0.9758784697362326,0.8807669396867538,0.8864553131237353,1.0,0.9366332282994911,0.9414858446801092,0.09448691363437821,0.8711392980683599,0.2144169089354518,0.6540170608985603,0.9794796222459903,0.9700435592790934,0.9797752974707119,0.8329536591824278,0.8978243438919206,0.8910585508728353,0.9228228614792373,0.7922806912492616,0.9108489729628738,0.9634283349043434,0.7604040416665646,0.7935747595439222,0.9862269831992678,0.9270481114289085,0.9846101938491333,0.9852034145035364,0.9384897180283964,0.9607597300598405,0.7913255855164486,0.9353214449028573,0.5451733866569538,0.9812854384641522,0.9198030347000045,-0.6158699470600834,0.982488572534754,0.9857773811706283,0.9268607057052018,0.9010821233400709,0.9723563126652786,0.9526218108649255,0.9897611904435458,0.9660652697551243,0.9809959305191372,0.9557177752783057,0.9876539148056288,0.9643764055837276,-0.15688096366925133,0.8286777224467969,0.9810604395765525,0.8524994368244985,0.885812749729334,0.8291160959444105,-0.5796727184244479,0.9262944531575031,0.9822913928012296,0.9296801249103313,0.9890933200836428,0.8903902929429259,0.9334098200379353,0.987026260277588,0.9469405762753703,0.9342467546671678,0.891745880863708,0.13868959852599794,0.9716988796385407,-0.07180212971190407,0.837483551633945,0.9807756477472015,0.9217746578048011,0.9867510269443559
ATVI,0.9460947370111403,0.8919313311409669,0.9050994404435984,0.8966438761256259,0.9366332282994911,1.0,0.9084906355197105,-0.03767145983217951,0.7577920304392464,-0.14496181790094875,0.63237494288032,0.9267210375293281,0.8297263206523229,0.907512628793935,0.37402050504872814,0.8671840906896555,0.8976706636449906,0.8913525715407602,0.6942428157315169,0.920868821520599,0.7791715570332967,0.7044914300545418,0.7261762239884418,0.9264475830137016,0.9151824027118047,0.9483605367867521,0.9479253355164711,0.9167974381598326,0.9284955172132194,0.7713262833149995,0.8956791456666072,0.5599714203648011,0.9125589030213713,0.8245786122996223,-0.5744985710247046,0.8914614498534361,0.8829649502607948,0.8687575616970112,0.8413135188601438,0.8945779155815405,0.9080894298469838,0.9474549164048612,0.8609021920840413,0.9164111795344266,0.9105340018843077,0.9270132471007547,0.9639567651524149,-0.0512195740300281,0.7903673412761915,0.9315262349932886,0.8068138568625967,0.8836462567131373,0.7896367912302096,-0.5231036464666737,0.7988372067068844,0.9045275402793652,0.9134892910745199,0.9416908549956043,0.8240931563617283,0.9061382309145479,0.9144372091047378,0.8325759505837432,0.8527408916754663,0.8994249601397797,0.2229269433032779,0.8673709498272133,0.08202909875471541,0.8117893782542204,0.9424627489071022,0.9031294186452428,0.9579076191701255
ADBE,0.8750211138078303,0.9479900603719457,0.8666268277335408,0.9587181634940435,0.9414858446801092,0.9084906355197105,1.0,0.18713445611216062,0.7210255843222155,-0.006040703170477342,0.4795854043032534,0.9356199557382027,0.8721688666526874,0.9120562177583174,0.41020915292511606,0.7683636520708477,0.768359525284199,0.885597113163735,0.604151159694988,0.9680142728242135,0.9231976278903049,0.5813446280531316,0.6015095062067836,0.9069348094462981,0.9156956899735339,0.9313830205622565,0.9353550393702063,0.8031382878627814,0.9867778915192323,0.6936812665000491,0.9431714275047639,0.5144344516698145,0.9135353786969953,0.8747833335608713,-0.4454161103639516,0.9274507494587956,0.9302201387088669,0.837217952605917,0.7546071159737155,0.8759176356958922,0.8888095071888583,0.9238328579972948,0.9273330319843783,0.9230331017916311,0.9747317364484565,0.9409661897572738,0.8850681150077956,-0.17016075884527443,0.8191144199607521,0.9133081255721629,0.8278643845060073,0.845984302878398,0.7142969994348324,-0.4285751469465113,0.9537803485150838,0.9437647452874633,0.8873416408487453,0.9340437753281822,0.7333268552472054,0.965674567423154,0.9627185235606878,0.8199370179642088,0.8007235664791368,0.9366744613261221,0.12256097019377665,0.8837409286868054,0.1885009805816438,0.8159489448223745,0.947560786546161,0.9049026450366298,0.9437195171843633
AMD,-0.12395485254384872,-0.028651908368156745,0.6874041612373868,0.2014863947793228,0.09448691363437821,-0.03767145983217951,0.18713445611216062,1.0,-0.11475212496105174,0.5867302280025019,-0.37552707651402684,-0.048725883899239056,0.2187828064811295,-0.09807921339156717,0.16502973273543356,-0.14886181189588357,-0.2147221912209095,-0.009102678995464046,-0.35898989884597926,0.24628944050474366,0.888241221851106,-0.2923475372490966,-0.27675037700477295,-0.07578008047881953,0.0684998393071775,0.11746519552164442,0.12371787787375925,-0.20175228469705578,0.11389362591224704,0.5900017683642097,0.10855470597903916,0.3562920613324348,-0.05427977872241054,0.03015242664495493,0.5723098345893127,0.009150941588701542,0.7028130963130558,0.11357243989520253,-0.2610369648468368,-0.16678828124186118,-0.003077524045643296,-0.0818533610590375,0.22809121643923186,-0.09584459854120249,0.2839889898339092,-0.02132977434917523,-0.08687118088340426,-0.45141365975269426,0.15383706811165124,-0.08791434916541045,0.35966498023052157,0.5979065199253599,-0.2363228540064234,0.45632950998631067,0.8436196092307806,-0.013343413501831424,0.16302959641939588,-0.03832350768352669,-0.1788615563496925,0.13112573703452618,0.05456522115828154,-0.19599008106266094,-0.1827181103827988,0.22954191422051598,-0.1255068747284454,-0.11788981969920743,0.45852820659897775,0.24322259014337066,-0.04084534772718462,0.04595193890748349,-0.04916127194565752
AAP,0.8745555206295452,0.8502216619415356,0.2515232182758251,0.6613761387652921,0.8711392980683599,0.7577920304392464,0.7210255843222155,-0.11475212496105174,1.0,0.2344843302487317,0.7698411149827388,0.8404487405470679,0.8161565745725445,0.8875464424773772,0.8621237937062131,0.925984130460083,0.7697143674798249,0.7800618555660442,0.9289701923261324,0.6583656977496014,0.06082058675276211,0.9229994692807593,0.9113988684076404,0.8934633385691544,0.7824754476544702,0.8378495634408146,0.8319892147205756,0.9184131820416013,0.7537009061463571,0.4525189205192452,0.7742531242789077,0.5579646885475222,0.8858712762156976,0.8401980654170514,-0.6703814023435294,0.8669972211461792,0.7974662186377347,0.8438209628408746,0.9532640212472454,0.8998928624655429,0.8991667581893992,0.8789262829637638,0.8052561266353564,0.8404358745137955,0.7979007708230892,0.868822750606489,0.8557582753860041,-0.06738346016350945,0.7378945399213779,0.878325281318858,0.5921428150907322,0.5944443366000639,0.8672763875261169,-0.6124564531397533,-0.24389712452490514,0.843230121973819,0.817052305558981,0.8710856225138911,0.8807207614114334,0.7294927199537015,0.857000883789863,0.9614085930462297,0.9221666674762156,0.6617927557718999,0.2340713987276905,0.9101999829541232,-0.265144785519651,0.6950454245629367,0.8095959984018514,0.7753444194554479,0.8565310674867271
AES,-0.19724584235455275,-0.10405695317418609,0.40498231583629424,0.0145938602356003,0.2144169089354518,-0.14496181790094875,-0.006040703170477342,0.5867302280025019,0.2344843302487317,1.0,-0.2147291588370175,-0.14378029943626278,0.20169317668422368,-0.16198660448800598,0.34081117099910674,-0.13873974248690046,-0.21190804226158644,-0.17815785871467651,-0.16073078038383506,0.08413535739002198,0.5477608012998835,-0.12290835083403862,0.08113346128960207,-0.12244309360898258,-0.10076180295769498,0.10197247532809198,0.10725426654734553,-0.1943604892298267,-0.06476174154030984,0.3864278901393849,-0.108600076777771,0.37137387732141547,-0.09825658827525265,-0.029404265076500694,0.457145547402716,-0.014678966520847448,0.5703223827891756,0.10456219830410894,-0.20314418319623723,-0.1844917732200461,-0.06351146765373078,-0.13594954567758202,0.1404394416321635,-0.16968372865222262,0.39539514782325597,-0.08688863714497815,-0.14436288982955758,-0.278450292808038,-0.0027586433131968797,-0.14013640552183546,0.219177824067446,0.46917094162787126,-0.22357452705277195,0.36399854876347704,0.6384558275052833,-0.13307173517683804,0.2979443991710929,-0.1390902856335917,0.02677456965669619,-0.09104598023587165,-0.03650982231244083,-0.19960400887993854,-0.19988655716664913,-0.02353358617644354,-0.0687304396677695,-0.18791530472986198,-0.004179060293715827,0.2881675572613374,-0.10807320316569714,-0.15554707105700774,-0.14777607999799194
