Date,High,Low,Open,Close,Volume,Adj Close
2019-06-05,82,82,82,82,0,82
2019-06-06,82,82,82,82,0,82
2019-06-07,82,82,82,82,0,82
2019-06-10,84,80,82,84,17500,84
2019-06-11,84,80,84,81,19100,81
2019-06-12,81,81,81,81,7100,81
2019-06-13,85,78,85,81,10800,81
2019-06-14,86,76,84,82,20600,82
2019-06-17,85,78,85,80,10100,80
2019-06-18,80,80,80,80,10900,80
2019-06-19,85,80,85,81,7200,81
2019-06-20,81,77,81,81,14200,81
2019-06-21,86,79,86,82,22800,82
2019-06-24,82,82,82,82,8000,82
2019-06-25,88,78,82,82,71900,82
2019-06-26,82,77,82,82,265500,82
2019-06-27,82,82,82,82,5900,82
2019-06-28,88,82,84,87,9516000,87
2019-07-01,87,82,87,86,12200,86
2019-07-02,86,81,86,85,8800,85
2019-07-03,85,81,85,83,7000,83
2019-07-04,83,78,83,78,89300,78
2019-07-05,82,79,82,81,23900,81
2019-07-08,84,81,81,84,6200,84
2019-07-09,84,81,81,84,5000,84
2019-07-10,90,84,84,84,7200,84
2019-07-11,85,80,84,83,8800,83
2019-07-12,90,85,90,85,21700,85
2019-07-15,85,68,85,70,9620500,70
2019-07-16,72,68,72,70,458800,70
2019-07-17,70,68,70,70,237400,70
2019-07-18,71,68,70,71,85100,71
2019-07-19,73,68,71,71,56200,71
2019-07-22,71,68,71,70,62400,70
2019-07-23,71,68,70,70,70700,70
2019-07-24,76,67,76,68,50100,68
2019-07-25,70,68,68,70,15200,70
2019-07-26,70,67,70,70,45600,70
2019-07-29,70,68,70,69,98600,69
2019-07-30,69,67,69,68,55300,68
2019-07-31,70,67,68,69,122900,69
2019-08-01,69,67,69,67,6100,67
2019-08-02,68,65,67,67,161700,67
2019-08-05,67,66,67,67,35600,67
2019-08-06,67,59,66,66,12600,66
2019-08-07,68,65,66,68,75000,68
2019-08-08,68,65,68,65,71700,65
2019-08-09,69,65,67,66,15100,66
2019-08-12,68,63,68,66,16900,66
2019-08-13,69,66,66,69,900,69
2019-08-14,77,69,69,70,274200,70
2019-08-15,80,71,75,71,51500,71
2019-08-16,71,71,71,71,10000,71
2019-08-19,71,67,71,67,65100,67
2019-08-20,80,67,67,68,54700,68
2019-08-21,68,66,68,67,27800,67
2019-08-22,67,67,67,67,34400,67
2019-08-23,75,67,75,67,54500,67
