Date,High,Low,Open,Close,Volume,Adj Close
2015-06-29,885.0,620.0,620.0,885.0,741100.0,865.4689331054688
2015-06-30,1105.0,875.0,950.0,1105.0,1457400.0,1080.61376953125
2015-07-01,1320.0,1130.0,1145.0,1155.0,2066200.0,1129.5103759765625
2015-07-02,1235.0,1050.0,1200.0,1055.0,814800.0,1031.71728515625
2015-07-03,1065.0,940.0,1055.0,945.0,836700.0,924.1448364257812
2015-07-06,1040.0,800.0,945.0,980.0,766600.0,958.3723754882812
2015-07-07,985.0,890.0,980.0,925.0,539800.0,904.586181640625
2015-07-08,910.0,840.0,900.0,865.0,161900.0,845.9103393554688
2015-07-09,890.0,815.0,890.0,865.0,331000.0,845.9103393554688
2015-07-10,880.0,820.0,865.0,865.0,153000.0,845.9103393554688
2015-07-13,950.0,830.0,850.0,870.0,230000.0,850.7999877929688
2015-07-14,880.0,840.0,875.0,880.0,228500.0,860.5792846679688
2015-07-15,900.0,840.0,840.0,870.0,113800.0,850.7999877929688
2015-07-22,880.0,820.0,850.0,860.0,208800.0,841.0206909179688
2015-07-23,900.0,830.0,900.0,865.0,88300.0,845.9103393554688
2015-07-24,880.0,830.0,880.0,860.0,194400.0,841.0206909179688
2015-07-27,865.0,840.0,840.0,865.0,182600.0,845.9103393554688
2015-07-28,865.0,840.0,840.0,845.0,157100.0,826.3516845703125
2015-07-29,865.0,840.0,845.0,845.0,139100.0,826.3516845703125
2015-07-30,925.0,845.0,860.0,895.0,333800.0,875.248291015625
2015-07-31,920.0,870.0,920.0,910.0,3600.0,889.917236328125
2015-08-03,1000.0,910.0,930.0,930.0,68800.0,909.475830078125
2015-08-04,1105.0,900.0,905.0,1040.0,845300.0,1017.0482788085938
2015-08-05,1075.0,985.0,1050.0,990.0,90000.0,968.1517333984375
2015-08-06,1055.0,890.0,890.0,955.0,60200.0,933.9241333007812
2015-08-07,1040.0,940.0,1005.0,950.0,39200.0,929.0344848632812
2015-08-10,1030.0,860.0,1030.0,945.0,90600.0,924.1448364257812
2015-08-11,1000.0,945.0,1000.0,945.0,40700.0,924.1448364257812
2015-08-12,1030.0,925.0,990.0,940.0,132800.0,919.2551879882812
2015-08-13,1000.0,870.0,940.0,870.0,3900.0,850.7999877929688
2015-08-14,870.0,840.0,870.0,840.0,1500.0,821.4620361328125
2015-08-18,840.0,840.0,840.0,840.0,0.0,821.4620361328125
2015-08-19,900.0,755.0,755.0,785.0,40900.0,767.6758422851562
2015-08-20,815.0,775.0,785.0,775.0,1300.0,757.8965454101562
2015-08-21,850.0,810.0,850.0,815.0,6400.0,797.0137939453125
2015-08-24,815.0,720.0,815.0,815.0,109400.0,797.0137939453125
2015-08-25,815.0,775.0,815.0,815.0,5800.0,797.0137939453125
2015-08-26,815.0,750.0,815.0,815.0,600.0,797.0137939453125
2015-08-27,810.0,740.0,740.0,800.0,6600.0,782.3448486328125
2015-08-28,800.0,720.0,750.0,720.0,72400.0,704.1103515625
2015-08-31,770.0,750.0,770.0,750.0,600.0,733.4482421875
2015-09-01,750.0,720.0,735.0,750.0,26400.0,733.4482421875
2015-09-02,750.0,735.0,745.0,735.0,37500.0,718.779296875
2015-09-03,750.0,705.0,750.0,705.0,5500.0,689.4413452148438
2015-09-04,740.0,735.0,735.0,735.0,5500.0,718.779296875
2015-09-07,730.0,730.0,730.0,730.0,2000.0,713.8896484375
2015-09-08,730.0,700.0,700.0,725.0,17400.0,709.0
2015-09-09,785.0,690.0,785.0,700.0,263500.0,684.5516967773438
2015-09-10,745.0,695.0,720.0,715.0,103000.0,699.220703125
2015-09-11,730.0,695.0,715.0,695.0,162100.0,679.6620483398438
2015-09-14,725.0,695.0,725.0,695.0,108700.0,679.6620483398438
2015-09-15,705.0,630.0,645.0,700.0,3700.0,684.5516967773438
2015-09-16,720.0,635.0,720.0,635.0,2200.0,620.9862060546875
2015-09-17,730.0,645.0,650.0,730.0,136100.0,713.8896484375
2015-09-18,725.0,675.0,725.0,675.0,2700.0,660.1034545898438
2015-09-21,705.0,700.0,700.0,705.0,200.0,689.4413452148438
