Date,High,Low,Open,Close,Volume,Adj Close
2018-10-31,198.0,108.0,198.0,108.0,403307700.0,108.0
2018-11-01,117.0,106.0,112.0,111.0,87264300.0,111.0
2018-11-02,149.0,109.0,113.0,149.0,270684100.0,149.0
2018-11-05,147.0,117.0,147.0,120.0,187002100.0,120.0
2018-11-06,129.0,117.0,121.0,121.0,98711100.0,121.0
2018-11-07,124.0,118.0,122.0,119.0,37401500.0,119.0
2018-11-08,123.0,117.0,120.0,117.0,58162200.0,117.0
2018-11-09,119.0,110.0,117.0,111.0,36129800.0,111.0
2018-11-12,118.0,108.0,112.0,110.0,42876900.0,110.0
2018-11-13,117.0,108.0,111.0,115.0,71074700.0,115.0
2018-11-14,120.0,111.0,113.0,113.0,31534400.0,113.0
2018-11-15,115.0,110.0,114.0,113.0,19227300.0,113.0
2018-11-16,113.0,110.0,111.0,111.0,10731800.0,111.0
2018-11-19,112.0,109.0,112.0,110.0,10340100.0,110.0
2018-11-20,110.0,110.0,110.0,110.0,0.0,110.0
2018-11-21,110.0,103.0,110.0,107.0,18988700.0,107.0
2018-11-22,110.0,103.0,108.0,104.0,22710000.0,104.0
2018-11-23,107.0,102.0,102.0,106.0,15178500.0,106.0
2018-11-26,107.0,99.0,104.0,102.0,16068200.0,102.0
2018-11-27,103.0,100.0,103.0,100.0,11645000.0,100.0
2018-11-28,110.0,96.0,99.0,104.0,40013600.0,104.0
2018-11-29,107.0,103.0,105.0,103.0,45456700.0,103.0
2018-11-30,105.0,102.0,102.0,104.0,4588900.0,104.0
2018-12-03,105.0,101.0,104.0,104.0,6386700.0,104.0
2018-12-04,108.0,101.0,101.0,105.0,9377200.0,105.0
2018-12-05,106.0,102.0,106.0,104.0,5862100.0,104.0
2018-12-06,106.0,102.0,106.0,104.0,21914800.0,104.0
2018-12-07,104.0,101.0,104.0,101.0,4475500.0,101.0
2018-12-10,103.0,98.0,102.0,98.0,9289500.0,98.0
2018-12-11,102.0,96.0,98.0,100.0,8087300.0,100.0
2018-12-12,102.0,98.0,99.0,100.0,6897000.0,100.0
2018-12-13,102.0,99.0,100.0,100.0,3961300.0,100.0
2018-12-14,104.0,99.0,100.0,102.0,24064400.0,102.0
2018-12-17,105.0,100.0,105.0,100.0,1029800.0,100.0
2018-12-18,100.0,99.0,100.0,99.0,1874500.0,99.0
2018-12-19,100.0,98.0,99.0,99.0,1826900.0,99.0
2018-12-20,102.0,97.0,100.0,99.0,7023400.0,99.0
2018-12-21,100.0,98.0,99.0,98.0,1649500.0,98.0
2018-12-24,98.0,98.0,98.0,98.0,0.0,98.0
2018-12-25,98.0,98.0,98.0,98.0,0.0,98.0
2018-12-26,98.0,95.0,96.0,95.0,3231900.0,95.0
2018-12-27,97.0,90.0,90.0,94.0,2967800.0,94.0
2018-12-28,97.0,94.0,95.0,94.0,3279100.0,94.0
2018-12-31,94.0,94.0,94.0,94.0,0.0,94.0
2019-01-01,94.0,94.0,94.0,94.0,0.0,94.0
2019-01-02,100.0,92.0,94.0,96.0,14391300.0,96.0
2019-01-03,98.0,94.0,96.0,96.0,3063700.0,96.0
2019-01-04,98.0,95.0,98.0,95.0,2026000.0,95.0
2019-01-07,98.0,95.0,95.0,96.0,3698400.0,96.0
2019-01-08,100.0,96.0,96.0,99.0,2747900.0,99.0
2019-01-09,100.0,98.0,99.0,99.0,1454500.0,99.0
2019-01-10,99.0,96.0,99.0,97.0,3177300.0,97.0
2019-01-11,99.0,96.0,99.0,97.0,1924600.0,97.0
2019-01-14,99.0,96.0,97.0,97.0,2002100.0,97.0
2019-01-15,98.0,96.0,98.0,97.0,1524400.0,97.0
2019-01-16,100.0,97.0,97.0,100.0,2139900.0,100.0
2019-01-17,102.0,99.0,100.0,99.0,2796200.0,99.0
2019-01-18,99.0,97.0,99.0,98.0,2504400.0,98.0
2019-01-21,102.0,98.0,98.0,100.0,7305300.0,100.0
2019-01-22,101.0,98.0,101.0,100.0,1558800.0,100.0
2019-01-23,100.0,98.0,99.0,99.0,1157700.0,99.0
2019-01-24,100.0,98.0,100.0,98.0,695500.0,98.0
2019-01-25,103.0,98.0,98.0,101.0,11498200.0,101.0
2019-01-28,102.0,99.0,102.0,99.0,2259400.0,99.0
2019-01-29,100.0,98.0,99.0,98.0,1168400.0,98.0
2019-01-30,100.0,97.0,100.0,97.0,1178900.0,97.0
2019-01-31,100.0,97.0,98.0,99.0,2126600.0,99.0
2019-02-01,100.0,97.0,99.0,99.0,2540400.0,99.0
2019-02-04,133.0,98.0,99.0,133.0,111427000.0,133.0
2019-02-05,133.0,133.0,133.0,133.0,0.0,133.0
2019-02-06,144.0,113.0,136.0,113.0,66259300.0,113.0
2019-02-07,152.0,113.0,116.0,152.0,98679000.0,152.0
2019-02-08,185.0,143.0,154.0,149.0,74429500.0,149.0
2019-02-11,155.0,141.0,149.0,145.0,9262600.0,145.0
2019-02-12,164.0,137.0,146.0,146.0,26977200.0,146.0
2019-02-13,158.0,142.0,146.0,145.0,10803200.0,145.0
2019-02-14,167.0,143.0,148.0,159.0,59813100.0,159.0
2019-02-15,167.0,154.0,159.0,162.0,13110400.0,162.0
2019-02-18,170.0,155.0,155.0,159.0,5705700.0,159.0
2019-02-19,166.0,150.0,157.0,162.0,10463600.0,162.0
2019-02-20,167.0,159.0,160.0,163.0,23827300.0,163.0
2019-02-21,162.0,158.0,162.0,160.0,1938200.0,160.0
2019-02-22,164.0,158.0,160.0,162.0,1780900.0,162.0
2019-02-25,173.0,160.0,165.0,167.0,12776800.0,167.0
2019-02-26,171.0,160.0,171.0,163.0,45545000.0,163.0
2019-02-27,167.0,150.0,167.0,154.0,3769400.0,154.0
2019-02-28,158.0,144.0,158.0,145.0,3587400.0,145.0
2019-03-01,152.0,142.0,145.0,146.0,1057900.0,146.0
2019-03-04,170.0,147.0,150.0,156.0,10682900.0,156.0
2019-03-05,161.0,154.0,161.0,156.0,12089600.0,156.0
2019-03-06,160.0,151.0,160.0,153.0,655400.0,153.0
2019-03-07,153.0,153.0,153.0,153.0,0.0,153.0
2019-03-08,157.0,146.0,157.0,146.0,703200.0,146.0
