Date,High,Low,Open,Close,Volume,Adj Close
2019-07-08,555.0,500.0,500.0,555.0,4174800.0,555.0
2019-07-09,690.0,660.0,690.0,690.0,34161400.0,690.0
2019-07-10,735.0,685.0,700.0,695.0,14297100.0,695.0
2019-07-11,865.0,695.0,695.0,865.0,53014800.0,865.0
2019-07-12,935.0,825.0,880.0,890.0,65932600.0,890.0
2019-07-15,930.0,870.0,895.0,885.0,42815500.0,885.0
2019-07-16,1090.0,890.0,890.0,1065.0,112006500.0,1065.0
2019-07-17,1105.0,1020.0,1070.0,1050.0,60157100.0,1050.0
2019-07-18,1135.0,1015.0,1055.0,1050.0,74800300.0,1050.0
2019-07-19,1105.0,1045.0,1060.0,1095.0,39513900.0,1095.0
2019-07-22,1135.0,1075.0,1095.0,1130.0,25551600.0,1130.0
2019-07-23,1155.0,1115.0,1130.0,1140.0,28260700.0,1140.0
2019-07-24,1185.0,1040.0,1145.0,1130.0,53792800.0,1130.0
2019-07-25,1140.0,1105.0,1135.0,1130.0,17100800.0,1130.0
2019-07-26,1140.0,1105.0,1130.0,1115.0,17046500.0,1115.0
2019-07-29,1120.0,1065.0,1115.0,1090.0,19574700.0,1090.0
2019-07-30,1120.0,1080.0,1090.0,1100.0,18240700.0,1100.0
2019-07-31,1130.0,1085.0,1105.0,1110.0,15343800.0,1110.0
2019-08-01,1140.0,1115.0,1115.0,1130.0,16716600.0,1130.0
2019-08-02,1225.0,1130.0,1135.0,1210.0,41379700.0,1210.0
2019-08-05,1215.0,1180.0,1215.0,1180.0,10013200.0,1180.0
2019-08-06,1230.0,1155.0,1180.0,1225.0,21520800.0,1225.0
2019-08-07,1270.0,1220.0,1230.0,1250.0,39585000.0,1250.0
2019-08-08,1315.0,1235.0,1255.0,1250.0,57507500.0,1250.0
2019-08-09,1275.0,1245.0,1250.0,1265.0,14935800.0,1265.0
2019-08-12,1275.0,1225.0,1265.0,1260.0,20923500.0,1260.0
2019-08-13,1270.0,1240.0,1260.0,1245.0,17635500.0,1245.0
2019-08-14,1280.0,1240.0,1255.0,1280.0,18457300.0,1280.0
2019-08-15,1300.0,1255.0,1275.0,1295.0,19854800.0,1295.0
2019-08-16,1330.0,1290.0,1300.0,1295.0,22322500.0,1295.0
2019-08-20,1400.0,1280.0,1290.0,1335.0,54706400.0,1335.0
2019-08-21,1350.0,1315.0,1340.0,1315.0,15308500.0,1315.0
2019-08-22,1335.0,1315.0,1315.0,1325.0,16215200.0,1325.0
2019-08-23,1360.0,1325.0,1325.0,1325.0,16344800.0,1325.0
