Date,High,Low,Open,Close,Volume,Adj Close
2009-12-23,165.0,131.0,131.0,131.0,149252000.0,131.0
2009-12-29,127.0,115.0,117.0,117.0,19529500.0,117.0
2009-12-30,122.0,116.0,117.0,117.0,8922500.0,117.0
2010-01-04,118.0,115.0,116.0,116.0,1826500.0,116.0
2010-01-05,118.0,113.0,113.0,113.0,6581000.0,113.0
2010-01-06,114.0,107.0,109.0,109.0,6014000.0,109.0
2010-01-07,111.0,105.0,106.0,106.0,3475000.0,106.0
2010-01-08,109.0,106.0,107.0,107.0,2865500.0,107.0
2010-01-11,115.0,106.0,108.0,108.0,6956500.0,108.0
2010-01-12,110.0,107.0,108.0,108.0,2576500.0,108.0
2010-01-13,109.0,107.0,107.0,107.0,1485500.0,107.0
2010-01-14,108.0,105.0,107.0,107.0,2801000.0,107.0
2010-01-15,106.0,105.0,105.0,105.0,1121500.0,105.0
2010-01-19,105.0,100.0,102.0,102.0,1293000.0,102.0
2010-01-20,103.0,97.0,97.0,97.0,9340000.0,97.0
2010-01-21,98.0,89.0,92.0,92.0,4738000.0,92.0
2010-01-22,91.0,86.0,88.0,88.0,3470500.0,88.0
2010-01-25,93.0,85.0,90.0,90.0,2810000.0,90.0
2010-01-27,91.0,87.0,88.0,88.0,3996000.0,88.0
2010-01-28,90.0,88.0,90.0,90.0,1154500.0,90.0
2010-01-29,90.0,87.0,87.0,87.0,675000.0,87.0
2010-02-01,88.0,86.0,87.0,87.0,171500.0,87.0
2010-02-02,88.0,86.0,86.0,86.0,1132000.0,86.0
2010-02-03,94.0,86.0,89.0,89.0,8091500.0,89.0
2010-02-04,92.0,88.0,89.0,89.0,1744500.0,89.0
2010-02-05,88.0,84.0,86.0,86.0,951500.0,86.0
2010-02-08,89.0,85.0,85.0,85.0,1524500.0,85.0
2010-02-09,85.0,82.0,84.0,84.0,570000.0,84.0
2010-02-10,88.0,83.0,84.0,84.0,752000.0,84.0
2010-02-11,86.0,81.0,84.0,84.0,1327500.0,84.0
2010-02-12,85.0,80.0,85.0,85.0,2540000.0,85.0
2010-02-15,86.0,82.0,86.0,86.0,714500.0,86.0
2010-02-16,85.0,82.0,82.0,82.0,1267000.0,82.0
2010-02-17,84.0,82.0,82.0,82.0,817000.0,82.0
2010-02-18,90.0,82.0,88.0,88.0,13193500.0,88.0
2010-02-19,99.0,87.0,98.0,98.0,37869000.0,98.0
2010-02-22,103.0,94.0,95.0,95.0,12745000.0,95.0
2010-02-23,94.0,90.0,90.0,90.0,2893500.0,90.0
2010-02-24,88.0,85.0,86.0,86.0,1443000.0,86.0
2010-02-25,87.0,84.0,87.0,87.0,778500.0,87.0
2010-03-01,87.0,83.0,85.0,85.0,1098500.0,85.0
2010-03-02,87.0,84.0,85.0,85.0,759000.0,85.0
2010-03-03,86.0,84.0,84.0,84.0,419500.0,84.0
2010-03-04,90.0,84.0,87.0,87.0,3552500.0,87.0
2010-03-05,93.0,87.0,91.0,91.0,2721500.0,91.0
2010-03-08,98.0,89.0,94.0,94.0,9009500.0,94.0
2010-03-09,95.0,92.0,93.0,93.0,1935000.0,93.0
2010-03-10,119.0,93.0,113.0,113.0,55052500.0,113.0
2010-03-11,115.0,102.0,103.0,103.0,11204000.0,103.0
2010-03-12,102.0,99.0,100.0,100.0,2154500.0,100.0
2010-03-15,109.0,99.0,102.0,102.0,4332000.0,102.0
2010-03-17,111.0,101.0,107.0,107.0,7219500.0,107.0
2010-03-18,108.0,103.0,104.0,104.0,1489000.0,104.0
2010-03-19,107.0,100.0,103.0,103.0,1444500.0,103.0
2010-03-22,106.0,102.0,104.0,104.0,987500.0,104.0
2010-03-23,108.0,103.0,105.0,105.0,1168500.0,105.0
2010-03-24,109.0,105.0,106.0,106.0,5032500.0,106.0
2010-03-26,109.0,103.0,105.0,105.0,1536500.0,105.0
2010-03-29,107.0,104.0,105.0,105.0,1253500.0,105.0
2010-03-30,110.0,104.0,106.0,106.0,6575500.0,106.0
2010-03-31,107.0,102.0,104.0,104.0,1473000.0,104.0
2010-04-01,107.0,104.0,105.0,105.0,254000.0,105.0
2010-04-06,106.0,103.0,104.0,104.0,500000.0,104.0
2010-04-07,113.0,105.0,106.0,106.0,4603500.0,106.0
2010-04-08,111.0,108.0,108.0,108.0,4082000.0,108.0
2010-04-09,110.0,108.0,109.0,109.0,1537000.0,109.0
2010-04-12,111.0,107.0,110.0,110.0,1058500.0,110.0
2010-04-13,112.0,107.0,110.0,110.0,1270500.0,110.0
2010-04-14,111.0,108.0,108.0,108.0,998000.0,108.0
2010-04-15,111.0,107.0,110.0,110.0,848500.0,110.0
2010-04-16,143.0,111.0,141.0,141.0,32803500.0,141.0
2010-04-19,144.0,124.0,130.0,130.0,37146000.0,130.0
2010-04-20,136.0,124.0,124.0,124.0,11129000.0,124.0
2010-04-21,133.0,124.0,128.0,128.0,10868500.0,128.0
2010-04-22,131.0,127.0,127.0,127.0,4465500.0,127.0
2010-04-23,129.0,126.0,126.0,126.0,1530500.0,126.0
2010-04-26,136.0,126.0,129.0,129.0,13264000.0,129.0
2010-04-27,133.0,128.0,130.0,130.0,6034000.0,130.0
2010-04-28,131.0,126.0,126.0,126.0,1882500.0,126.0
2010-04-29,129.0,127.0,127.0,127.0,1469000.0,127.0
2010-04-30,130.0,127.0,128.0,128.0,534500.0,128.0
2010-05-03,128.0,126.0,126.0,126.0,314000.0,126.0
2010-05-04,127.0,123.0,124.0,124.0,1045500.0,124.0
2010-05-05,123.0,117.0,120.0,120.0,1207000.0,120.0
2010-05-06,121.0,111.0,115.0,115.0,1615000.0,115.0
2010-05-07,114.0,109.0,110.0,110.0,809000.0,110.0
2010-05-10,110.0,110.0,110.0,110.0,358000.0,110.0
2010-05-11,117.0,109.0,110.0,110.0,753000.0,110.0
2010-05-12,113.0,111.0,113.0,113.0,264500.0,113.0
2010-05-14,117.0,113.0,114.0,114.0,30500.0,114.0
2010-05-17,112.0,108.0,112.0,112.0,58000.0,112.0
2010-05-18,117.0,111.0,112.0,112.0,782500.0,112.0
2010-05-19,113.0,108.0,108.0,108.0,508500.0,108.0
2010-05-20,110.0,105.0,108.0,108.0,587000.0,108.0
2010-05-21,108.0,106.0,106.0,106.0,55500.0,106.0
2010-05-24,116.0,101.0,103.0,103.0,219000.0,103.0
2010-05-25,95.0,85.0,87.0,87.0,1683000.0,87.0
2010-05-26,100.0,90.0,95.0,95.0,387500.0,95.0
2010-05-27,104.0,93.0,99.0,99.0,171000.0,99.0
2010-05-31,103.0,95.0,102.0,102.0,110500.0,102.0
2010-06-01,104.0,94.0,99.0,99.0,34500.0,99.0
2010-06-02,99.0,95.0,95.0,95.0,4500.0,95.0
2010-06-03,105.0,97.0,99.0,99.0,343000.0,99.0
2010-06-04,110.0,105.0,105.0,105.0,1500.0,105.0
2010-06-07,98.0,91.0,98.0,98.0,901500.0,98.0
2010-06-08,100.0,95.0,99.0,99.0,183000.0,99.0
2010-06-09,106.0,99.0,100.0,100.0,466500.0,100.0
2010-06-10,105.0,98.0,99.0,99.0,98000.0,99.0
2010-06-11,103.0,100.0,100.0,100.0,88000.0,100.0
2010-06-14,101.0,99.0,99.0,99.0,174500.0,99.0
2010-06-15,114.0,102.0,108.0,108.0,1396000.0,108.0
2010-06-16,115.0,103.0,108.0,108.0,449000.0,108.0
2010-06-17,115.0,108.0,110.0,110.0,1705000.0,110.0
